Expenditure category,RelativeimportanceMar.2020,Apr.2019,Mar.2020,Apr.2020,Apr.2019-Apr.2020,Mar.2020-Apr.2020,Jan.2020-Feb.2020,Feb.2020-Mar.2020,Mar.2020-Apr.2020
All items,100.000,255.548,258.115,256.389,0.3,-0.7,0.1,-0.4,-0.8
Food,13.862,257.708,262.708,266.757,3.5,1.5,0.4,0.3,1.5
Food at home,7.652,241.878,245.163,251.717,4.1,2.7,0.5,0.5,2.6
Cereals and bakery products,0.989,276.640,277.646,285.160,3.1,2.7,0.5,0.1,2.9
"Meats, poultry, fish, and eggs",1.687,249.203,254.724,266.263,6.8,4.5,0.2,0.1,4.3
Dairy and related products,0.778,217.510,225.627,228.755,5.2,1.4,1.1,0.6,1.5
Fruits and vegetables,1.323,303.503,299.641,304.809,0.4,1.7,0.0,0.8,1.5
Nonalcoholic beverages and beverage materials,0.923,170.727,174.454,179.235,5.0,2.7,0.5,0.9,2.9
Other food at home,1.954,211.078,214.565,219.233,3.9,2.2,0.8,0.6,1.9
Food away from home(1),6.210,282.798,290.216,290.639,2.8,0.1,0.2,0.2,0.1
Energy,6.256,222.499,199.573,183.081,-17.7,-8.3,-2.0,-5.8,-10.1
Energy commodities,3.174,253.547,207.215,174.001,-31.4,-16.0,-3.5,-10.4,-20.0
Fuel oil,0.084,291.424,229.794,194.716,-33.2,-15.3,-8.5,-13.7,-15.6
Motor fuel,3.028,249.550,203.512,170.378,-31.7,-16.3,-3.3,-10.4,-20.4
Gasoline (all types),2.957,248.499,202.205,168.891,-32.0,-16.5,-3.4,-10.5,-20.6
Energy services,3.082,201.341,201.439,200.899,-0.2,-0.3,-0.3,-0.5,0.1
Electricity,2.412,210.525,211.332,211.040,0.2,-0.1,-0.1,-0.2,0.1
Utility (piped) gas service,0.670,171.004,168.994,167.751,-1.9,-0.7,-0.9,-1.4,0.2
All items less food and energy,79.882,262.332,267.312,266.089,1.4,-0.5,0.2,-0.1,-0.4
Commodities less food and energy commodities,20.300,144.851,144.718,143.613,-0.9,-0.8,0.2,-0.3,-0.7
Apparel,2.908,125.542,123.815,118.394,-5.7,-4.4,0.4,-2.0,-4.7
New vehicles,3.741,147.840,147.124,147.007,-0.6,-0.1,0.1,-0.4,0.0
Used cars and trucks,2.587,140.458,140.689,139.411,-0.7,-0.9,0.4,0.8,-0.4
Medical care commodities,1.623,381.256,384.498,383.911,0.7,-0.2,-0.6,0.0,-0.1
Alcoholic beverages,1.032,251.758,255.660,256.423,1.9,0.3,0.3,0.5,0.3
Tobacco and smoking products,0.595,"1,105.201","1,162.660","1,159.847",4.9,-0.2,0.6,1.0,-0.4
Services less energy services,59.582,335.468,343.990,342.776,2.2,-0.4,0.2,0.0,-0.4
Shelter,33.303,316.263,324.615,324.522,2.6,0.0,0.3,0.0,0.0
Rent of primary residence,7.820,328.678,339.519,340.135,3.5,0.2,0.3,0.3,0.2
Owners' equivalent rent of residences(2),24.134,323.426,332.864,333.358,3.1,0.1,0.2,0.3,0.2
Medical care services,7.273,529.371,557.889,559.994,5.8,0.4,0.3,0.5,0.5
Physicians' services,1.809,382.150,386.483,386.862,1.2,0.1,0.2,0.3,-0.1
Hospital services(3),2.217,335.198,351.350,352.676,5.2,0.4,-0.1,0.4,0.5
Transportation services,5.332,325.114,321.610,307.250,-5.5,-4.5,0.3,-1.9,-4.7
Motor vehicle maintenance and repair(1),1.088,295.266,304.131,304.376,3.1,0.1,0.7,0.6,0.1
Motor vehicle insurance,1.713,570.492,579.462,534.842,-6.2,-7.7,0.5,0.6,-7.2
Airline fares,0.719,268.767,232.113,203.342,-24.3,-12.4,-0.3,-12.6,-15.2
