Expenditure category,RelativeimportanceNov.2020,Dec.2019,Nov.2020,Dec.2020,Dec.2019-Dec.2020,Nov.2020-Dec.2020,Sep.2020-Oct.2020,Oct.2020-Nov.2020,Nov.2020-Dec.2020
All items,100.000,256.974,260.229,260.474,1.4,0.1,0.0,0.2,0.4
Food,14.082,259.823,269.069,270.023,3.9,0.4,0.2,-0.1,0.4
Food at home,7.753,241.750,250.407,251.253,3.9,0.3,0.1,-0.3,0.4
Cereals and bakery products,0.999,275.036,282.782,283.735,3.2,0.3,0.3,-0.5,0.4
"Meats, poultry, fish, and eggs",1.743,252.893,265.307,264.475,4.6,-0.3,0.4,0.1,-0.2
Dairy and related products,0.785,221.924,229.503,231.740,4.4,1.0,-0.9,0.3,0.8
Fruits and vegetables,1.341,297.105,306.311,306.506,3.2,0.1,0.1,0.0,-0.2
Nonalcoholic beverages and beverage materials,0.923,170.006,175.869,177.539,4.4,0.9,-0.1,-0.9,1.1
Other food at home,1.963,210.432,217.310,218.534,3.9,0.6,0.3,-0.6,0.7
Food away from home(1),6.330,288.078,298.253,299.369,3.9,0.4,0.3,0.1,0.4
Energy,6.044,212.982,194.388,198.155,-7.0,1.9,0.1,0.4,4.0
Energy commodities,2.919,234.651,192.126,198.997,-15.2,3.6,-0.5,-0.2,8.2
Fuel oil,0.076,288.766,209.579,231.044,-20.0,10.2,-0.3,3.6,10.0
Motor fuel,2.782,230.189,188.544,194.996,-15.3,3.4,-0.6,-0.4,8.3
Gasoline (all types),2.721,228.857,187.609,193.990,-15.2,3.4,-0.5,-0.4,8.4
Energy services,3.125,201.446,205.921,206.758,2.6,0.4,0.8,1.1,0.1
Electricity,2.420,209.725,213.787,214.375,2.2,0.3,1.2,0.5,0.4
Utility (piped) gas service,0.705,173.652,179.226,180.767,4.1,0.9,-0.7,3.1,-0.8
All items less food and energy,79.874,264.935,269.473,269.226,1.6,-0.1,0.0,0.2,0.1
Commodities less food and energy commodities,20.279,142.920,145.750,145.317,1.7,-0.3,-0.2,0.1,0.2
Apparel,2.716,119.111,116.602,114.434,-3.9,-1.9,-1.2,0.9,1.4
New vehicles,3.734,146.220,148.063,149.091,2.0,0.7,0.4,-0.1,0.4
Used cars and trucks,2.778,137.125,152.324,150.891,10.0,-0.9,-0.1,-1.3,-1.2
Medical care commodities,1.586,387.533,378.810,377.921,-2.5,-0.2,-0.8,-0.3,-0.4
Alcoholic beverages,1.041,252.361,259.995,259.397,2.8,-0.2,0.3,0.4,0.0
Tobacco and smoking products,0.605,"1,141.600","1,192.609","1,199.508",5.1,0.6,-0.2,0.3,1.0
Services less energy services,59.595,341.347,346.884,346.808,1.6,0.0,0.1,0.2,0.1
Shelter,33.320,321.766,327.435,327.702,1.8,0.1,0.1,0.1,0.1
Rent of primary residence,7.860,336.789,344.039,344.455,2.3,0.1,0.2,0.0,0.1
Owners' equivalent rent of residences(2),24.253,330.527,337.247,337.695,2.2,0.1,0.2,0.0,0.1
Medical care services,7.311,549.077,565.345,564.201,2.8,-0.2,-0.3,-0.1,-0.1
Physicians' services,1.821,385.092,392.156,391.807,1.7,-0.1,0.0,0.1,0.0
Hospital services(3),2.223,344.933,355.164,355.232,3.0,0.0,-0.6,0.3,0.3
Transportation services,5.189,324.209,315.554,312.959,-3.5,-0.8,0.1,1.8,-0.1
Motor vehicle maintenance and repair(1),1.100,299.614,309.949,309.888,3.4,0.0,0.1,0.4,0.0
Motor vehicle insurance,1.577,572.979,537.765,545.376,-4.8,1.4,-2.3,1.1,1.4
Airline fares,0.687,252.411,223.360,205.983,-18.4,-7.8,6.3,3.5,-2.3
