Expenditure category,RelativeimportanceFeb.2020,Mar.2019,Feb.2020,Mar.2020,Mar.2019-Mar.2020,Feb.2020-Mar.2020,Dec.2019-Jan.2020,Jan.2020-Feb.2020,Feb.2020-Mar.2020
All items,100.000,254.202,258.678,258.115,1.5,-0.2,0.1,0.1,-0.4
Food,13.788,257.724,261.876,262.708,1.9,0.3,0.2,0.4,0.3
Food at home,7.601,242.555,244.054,245.163,1.1,0.5,0.1,0.5,0.5
Cereals and bakery products,0.983,277.275,276.641,277.646,0.1,0.4,-0.4,0.5,0.1
"Meats, poultry, fish, and eggs",1.675,249.062,253.396,254.724,2.3,0.5,0.0,0.2,0.1
Dairy and related products,0.772,217.531,224.443,225.627,3.7,0.5,0.2,1.1,0.6
Fruits and vegetables,1.321,305.399,299.817,299.641,-1.9,-0.1,0.1,0.0,0.8
Nonalcoholic beverages and beverage materials,0.914,172.060,173.194,174.454,1.4,0.7,0.4,0.5,0.9
Other food at home,1.937,211.550,213.215,214.565,1.4,0.6,0.2,0.8,0.6
Food away from home(1),6.187,281.887,289.781,290.216,3.0,0.2,0.4,0.2,0.2
Energy,6.517,211.724,208.354,199.573,-5.7,-4.2,-0.7,-2.0,-5.8
Energy commodities,3.422,231.228,223.913,207.215,-10.4,-7.5,-1.6,-3.5,-10.4
Fuel oil,0.098,287.496,268.835,229.794,-20.1,-14.5,-0.4,-8.5,-13.7
Motor fuel,3.261,226.616,219.677,203.512,-10.2,-7.4,-1.6,-3.3,-10.4
Gasoline (all types),3.186,225.282,218.373,202.205,-10.2,-7.4,-1.6,-3.4,-10.5
Energy services,3.095,202.461,202.712,201.439,-0.5,-0.6,0.6,-0.3,-0.5
Electricity,2.417,210.937,212.180,211.332,0.2,-0.4,0.4,-0.1,-0.2
Utility (piped) gas service,0.678,174.089,171.469,168.994,-2.9,-1.4,1.0,-0.9,-1.4
All items less food and energy,79.695,261.836,267.268,267.312,2.1,0.0,0.2,0.2,-0.1
Commodities less food and energy commodities,20.240,144.994,144.605,144.718,-0.2,0.1,0.0,0.2,-0.3
Apparel,2.916,125.785,124.438,123.815,-1.6,-0.5,0.7,0.4,-2.0
New vehicles,3.750,147.788,147.803,147.124,-0.4,-0.5,0.0,0.1,-0.4
Used cars and trucks,2.522,140.513,137.452,140.689,0.1,2.4,-1.2,0.4,0.8
Medical care commodities,1.620,379.568,384.701,384.498,1.3,-0.1,-0.6,-0.6,0.0
Alcoholic beverages,1.026,252.087,254.831,255.660,1.4,0.3,0.3,0.3,0.5
Tobacco and smoking products,0.586,"1,103.240","1,148.752","1,162.660",5.4,1.2,0.3,0.6,1.0
Services less energy services,59.455,334.518,344.006,343.990,2.8,0.0,0.3,0.2,0.0
Shelter,33.194,315.135,324.254,324.615,3.0,0.1,0.4,0.3,0.0
Rent of primary residence,7.782,327.513,338.616,339.519,3.7,0.3,0.4,0.3,0.3
Owners' equivalent rent of residences(2),24.032,322.482,332.177,332.864,3.2,0.2,0.3,0.2,0.3
Medical care services,7.228,528.575,555.597,557.889,5.5,0.4,0.3,0.3,0.5
Physicians' services,1.804,381.045,386.202,386.483,1.4,0.1,-0.4,0.2,0.3
Hospital services(3),2.208,336.648,350.635,351.350,4.4,0.2,0.8,-0.1,0.4
Transportation services,5.418,323.982,327.466,321.610,-0.7,-1.8,0.3,0.3,-1.9
Motor vehicle maintenance and repair(1),1.079,294.226,302.220,304.131,3.4,0.6,0.2,0.7,0.6
Motor vehicle insurance,1.700,573.087,576.450,579.462,1.1,0.5,-0.2,0.5,0.6
Airline fares,0.820,259.698,265.142,232.113,-10.6,-12.5,0.7,-0.3,-12.6
