Expenditure category,RelativeimportanceAug.2020,Sep.2019,Aug.2020,Sep.2020,Sep.2019-Sep.2020,Aug.2020-Sep.2020,Jun.2020-Jul.2020,Jul.2020-Aug.2020,Aug.2020-Sep.2020
All items,100.000,256.759,259.918,260.280,1.4,0.1,0.6,0.4,0.2
Food,14.100,258.943,269.079,269.163,3.9,0.0,-0.4,0.1,0.0
Food at home,7.822,241.543,252.352,251.369,4.1,-0.4,-1.1,-0.1,-0.4
Cereals and bakery products,1.006,277.308,284.472,284.416,2.6,0.0,-0.4,-0.2,0.0
"Meats, poultry, fish, and eggs",1.756,249.740,266.969,265.386,6.3,-0.6,-3.8,-1.7,-0.4
Dairy and related products,0.792,219.771,231.231,230.656,5.0,-0.2,-0.8,1.5,-0.5
Fruits and vegetables,1.345,297.309,306.754,306.249,3.0,-0.2,0.1,0.2,-0.4
Nonalcoholic beverages and beverage materials,0.938,170.630,178.684,177.848,4.2,-0.5,-0.5,0.1,-0.8
Other food at home,1.986,211.490,219.607,218.358,3.2,-0.6,-0.2,0.5,-0.6
Food away from home(1),6.277,286.246,295.437,297.080,3.8,0.6,0.5,0.3,0.6
Energy,6.144,215.418,197.362,198.858,-7.7,0.8,2.5,0.9,0.8
Energy commodities,3.019,236.493,198.496,199.741,-15.5,0.6,5.3,2.0,-0.1
Fuel oil,0.076,276.664,207.623,201.474,-27.2,-3.0,4.3,3.9,-5.3
Motor fuel,2.886,232.658,195.352,196.756,-15.4,0.7,5.5,2.0,0.1
Gasoline (all types),2.824,231.496,194.449,195.888,-15.4,0.7,5.6,2.0,0.1
Energy services,3.125,204.660,205.636,207.454,1.4,0.9,0.0,-0.2,1.6
Electricity,2.468,216.938,217.680,218.395,0.7,0.3,0.3,-0.2,0.9
Utility (piped) gas service,0.657,165.562,166.916,171.873,3.8,3.0,-1.0,-0.2,4.2
All items less food and energy,79.757,264.522,268.756,269.054,1.7,0.1,0.6,0.4,0.2
Commodities less food and energy commodities,20.253,144.596,145.391,146.096,1.0,0.5,0.7,1.0,0.8
Apparel,2.712,127.009,116.299,119.354,-6.0,2.6,1.1,0.6,-0.5
New vehicles,3.722,145.854,147.412,147.361,1.0,0.0,0.8,0.0,0.3
Used cars and trucks,2.735,138.653,149.765,152.887,10.3,2.1,2.3,5.4,6.7
Medical care commodities,1.615,379.530,385.409,383.031,0.9,-0.6,0.0,-0.1,0.0
Alcoholic beverages,1.033,253.261,257.678,257.730,1.8,0.0,-0.3,0.3,-0.2
Tobacco and smoking products,0.600,"1,128.109","1,180.537","1,183.975",5.0,0.3,0.8,0.4,0.4
Services less energy services,59.503,339.377,345.936,345.880,1.9,0.0,0.6,0.2,0.0
Shelter,33.315,320.569,326.997,327.116,2.0,0.0,0.2,0.1,0.1
Rent of primary residence,7.833,333.834,342.444,342.910,2.7,0.1,0.2,0.1,0.1
Owners' equivalent rent of residences(2),24.175,327.933,335.763,336.095,2.5,0.1,0.2,0.1,0.1
Medical care services,7.351,540.813,567.771,567.525,4.9,0.0,0.5,0.1,0.0
Physicians' services,1.827,384.454,393.025,392.474,2.1,-0.1,0.7,0.1,-0.3
Hospital services(3),2.214,339.512,353.332,355.129,4.6,0.5,0.2,0.1,0.6
Transportation services,5.128,324.717,311.422,308.143,-5.1,-1.1,3.6,0.0,-0.9
Motor vehicle maintenance and repair(1),1.093,298.441,307.554,308.198,3.3,0.2,-0.1,0.6,0.2
Motor vehicle insurance,1.646,569.106,560.623,540.491,-5.0,-3.6,9.3,0.5,-3.5
Airline fares,0.614,263.149,199.496,197.424,-25.0,-1.0,5.4,1.2,-2.0
