Expenditure category,RelativeimportanceJan.2021,Feb.2020,Jan.2021,Feb.2021,Feb.2020-Feb.2021,Jan.2021-Feb.2021,Nov.2020-Dec.2020,Dec.2020-Jan.2021,Jan.2021-Feb.2021
All items,100.000,258.678,261.582,263.014,1.7,0.5,0.2,0.3,0.4
Food,14.107,261.876,270.938,271.363,3.6,0.2,0.3,0.1,0.2
Food at home,7.765,244.054,252.107,252.716,3.5,0.2,0.3,-0.1,0.3
Cereals and bakery products,0.994,276.641,282.911,284.095,2.7,0.4,0.3,-0.8,0.5
"Meats, poultry, fish, and eggs",1.738,253.396,265.922,266.606,5.2,0.3,-0.2,0.5,0.3
Dairy and related products,0.788,224.443,231.546,230.452,2.7,-0.5,0.7,-0.4,-0.2
Fruits and vegetables,1.350,299.817,309.954,309.993,3.4,0.0,-0.2,-0.2,0.7
Nonalcoholic beverages and beverage materials,0.938,173.194,179.789,180.202,4.0,0.2,0.9,0.1,-0.1
Other food at home,1.957,213.215,217.824,219.110,2.8,0.6,0.7,-0.3,0.1
Food away from home(1),6.342,289.781,300.382,300.540,3.7,0.1,0.4,0.3,0.1
Energy,6.349,208.354,205.273,213.277,2.4,3.9,2.6,3.5,3.9
Energy commodities,3.214,223.913,212.676,227.412,1.6,6.9,5.1,7.3,6.6
Fuel oil(1),0.088,268.835,243.588,267.613,-0.5,9.9,10.2,5.4,9.9
Motor fuel,3.059,219.677,208.387,222.667,1.4,6.9,5.2,7.4,6.4
Gasoline (all types),2.993,218.373,207.406,221.689,1.5,6.9,5.2,7.4,6.4
Energy services,3.135,202.712,207.649,209.296,3.2,0.8,0.2,-0.3,0.9
Electricity,2.424,212.180,215.242,216.998,2.3,0.8,0.4,-0.2,0.7
Utility (piped) gas service,0.711,171.469,181.709,183.006,6.7,0.7,-0.4,-0.4,1.6
All items less food and energy,79.544,267.268,269.755,270.696,1.3,0.3,0.0,0.0,0.1
Commodities less food and energy commodities,20.205,144.605,145.973,146.532,1.3,0.4,0.1,0.1,-0.2
Apparel,2.730,124.438,117.785,119.998,-3.6,1.9,0.9,2.2,-0.7
New vehicles,3.748,147.803,149.377,149.515,1.2,0.1,0.4,-0.5,0.0
Used cars and trucks,2.716,137.452,149.659,150.221,9.3,0.4,-0.9,-0.9,-0.9
Medical care commodities(1),1.572,384.701,377.546,374.905,-2.5,-0.7,-0.2,-0.1,-0.7
Alcoholic beverages,1.035,254.831,259.765,260.011,2.0,0.1,0.1,-0.1,-0.1
Tobacco and smoking products(1),0.616,"1,148.752","1,220.942","1,228.750",7.0,0.6,0.6,1.8,0.6
Services less energy services,59.339,344.006,347.190,348.361,1.3,0.3,0.0,0.0,0.2
Shelter,33.233,324.254,328.282,329.005,1.5,0.2,0.1,0.1,0.2
Rent of primary residence,7.836,338.616,344.758,345.242,2.0,0.1,0.1,0.1,0.2
Owners' equivalent rent of residences(2),24.195,332.177,338.181,338.918,2.0,0.2,0.1,0.1,0.3
Medical care services,7.317,555.597,568.778,572.378,3.0,0.6,-0.1,0.5,0.5
Physicians' services(1),1.838,386.202,397.892,405.897,5.1,2.0,-0.1,1.6,2.0
Hospital services(3),2.234,350.635,358.733,359.521,2.5,0.2,0.3,0.3,-0.1
Transportation services,5.093,327.466,311.312,313.160,-4.4,0.6,-0.6,-0.3,-0.1
Motor vehicle maintenance and repair(1),1.097,302.220,310.662,311.627,3.1,0.3,0.0,0.2,0.3
Motor vehicle insurance,1.609,576.450,551.552,560.386,-2.8,1.6,-0.1,1.6,0.7
Airline fares,0.614,265.142,200.825,197.204,-25.6,-1.8,-2.5,-3.2,-5.1
