Expenditure category,RelativeimportanceJun.2021,Jul.2020,Jun.2021,Jul.2021,Jul.2020-Jul.2021,Jun.2021-Jul.2021,Apr.2021-May2021,May2021-Jun.2021,Jun.2021-Jul.2021
All items,100.000,259.101,271.696,273.003,5.4,0.5,0.6,0.9,0.5
Food,13.846,268.863,276.206,278.127,3.4,0.7,0.4,0.8,0.7
Food at home,7.633,252.563,257.412,259.022,2.6,0.6,0.4,0.8,0.7
Cereals and bakery products,0.970,285.204,286.761,289.533,1.5,1.0,0.5,-0.3,1.2
"Meats, poultry, fish, and eggs",1.781,271.028,282.993,286.994,5.9,1.4,1.3,2.5,1.5
Dairy and related products,0.754,227.114,230.152,231.233,1.8,0.5,0.4,0.2,0.6
Fruits and vegetables,1.322,306.123,315.211,312.875,2.2,-0.7,0.0,0.7,-0.9
Nonalcoholic beverages and beverage materials,0.902,178.167,179.527,180.136,1.1,0.3,-0.5,0.9,0.7
Other food at home,1.905,219.254,220.221,222.116,1.3,0.9,0.0,0.2,0.8
Food away from home(1),6.213,294.599,305.634,308.023,4.6,0.8,0.6,0.7,0.8
Energy,7.168,197.665,240.720,244.800,23.8,1.7,0.0,1.5,1.6
Energy commodities,3.979,198.365,273.459,280.040,41.2,2.4,-0.6,2.6,2.3
Fuel oil(1),0.098,203.084,280.786,282.484,39.1,0.6,2.1,2.9,0.6
Motor fuel,3.816,195.317,269.983,276.650,41.6,2.5,-0.7,2.5,2.4
Gasoline (all types),3.737,194.397,268.979,275.656,41.8,2.5,-0.7,2.5,2.4
Energy services,3.190,206.388,219.425,221.196,7.2,0.8,0.7,0.2,0.8
Electricity,2.457,218.820,226.562,227.672,4.0,0.5,0.3,-0.3,0.4
Utility (piped) gas service,0.733,166.536,194.563,198.207,19.0,1.9,1.7,1.7,2.2
All items less food and energy,78.986,267.703,278.218,279.146,4.3,0.3,0.7,0.9,0.3
Commodities less food and energy commodities,20.694,143.696,155.284,155.873,8.5,0.4,1.8,2.2,0.5
Apparel,2.685,114.267,120.324,119.078,4.2,-1.0,1.2,0.7,0.0
New vehicles,3.740,147.803,154.847,157.203,6.4,1.5,1.6,2.0,1.7
Used cars and trucks,3.474,141.493,198.855,200.425,41.7,0.8,7.3,10.5,0.2
Medical care commodities(1),1.506,384.377,375.697,376.323,-2.1,0.2,0.0,-0.4,0.2
Alcoholic beverages,1.008,256.960,262.913,263.226,2.4,0.1,0.4,0.5,0.3
Tobacco and smoking products(1),0.606,"1,178.054","1,247.577","1,253.276",6.4,0.5,0.1,0.6,0.5
Services less energy services,58.292,345.493,354.250,355.375,2.9,0.3,0.4,0.4,0.3
Shelter,32.575,326.580,334.222,335.812,2.8,0.5,0.3,0.5,0.4
Rent of primary residence,7.611,341.950,347.833,348.469,1.9,0.2,0.2,0.2,0.2
Owners' equivalent rent of residences(2),23.575,335.144,342.258,343.293,2.4,0.3,0.3,0.3,0.3
Medical care services,7.066,567.299,570.509,571.934,0.8,0.2,-0.1,0.0,0.3
Physicians' services(1),1.809,392.928,406.812,408.445,3.9,0.4,0.0,0.3,0.4
Hospital services(3),2.167,353.381,361.384,363.254,2.8,0.5,0.2,0.2,0.5
Transportation services,5.285,312.938,335.548,332.917,6.4,-0.8,1.5,1.5,-1.1
Motor vehicle maintenance and repair(1),1.071,305.573,315.209,318.031,4.1,0.9,-0.3,0.3,0.9
Motor vehicle insurance,1.600,558.276,569.656,567.463,1.6,-0.4,0.7,1.2,-2.8
Airline fares,0.756,204.785,256.684,243.613,19.0,-5.1,7.0,2.7,-0.1
