Expenditure category,RelativeimportanceDec.2021,Jan.2021,Dec.2021,Jan.2022,Jan.2021-Jan.2022,Dec.2021-Jan.2022,Oct.2021-Nov.2021,Nov.2021-Dec.2021,Dec.2021-Jan.2022
All items,100.000,261.582,278.802,281.148,7.5,0.8,0.7,0.6,0.6
Food,13.370,270.938,286.966,289.772,7.0,1.0,0.8,0.5,0.9
Food at home,8.165,252.107,267.555,270.711,7.4,1.2,0.9,0.4,1.0
Cereals and bakery products,1.030,282.911,297.279,302.242,6.8,1.7,0.7,0.3,1.8
"Meats, poultry, fish, and eggs",1.888,265.922,297.604,298.441,12.2,0.3,1.0,0.2,0.3
Dairy and related products,0.752,231.546,235.442,238.675,3.1,1.4,0.3,0.6,1.1
Fruits and vegetables,1.408,309.954,321.931,327.451,5.6,1.7,1.0,0.5,0.9
Nonalcoholic beverages and beverage materials,0.933,179.789,186.723,188.719,5.0,1.1,0.3,0.6,0.0
Other food at home,2.153,217.824,230.809,233.956,7.4,1.4,1.3,0.4,1.6
Food away from home(1),5.205,300.382,317.372,319.471,6.4,0.7,0.6,0.6,0.7
Energy,7.348,205.273,256.207,260.653,27.0,1.7,2.4,0.9,0.9
Energy commodities,4.014,212.676,296.391,297.454,39.9,0.4,4.2,1.3,-0.6
Fuel oil(1),0.115,243.588,325.879,356.864,46.5,9.5,3.5,-2.4,9.5
Motor fuel,3.822,208.387,291.510,291.767,40.0,0.1,4.3,1.4,-0.8
Gasoline (all types),3.748,207.406,290.185,290.416,40.0,0.1,4.5,1.3,-0.8
Energy services,3.334,207.649,228.199,235.941,13.6,3.4,0.2,0.3,2.9
Electricity,2.454,215.242,227.974,238.183,10.7,4.5,0.2,0.5,4.2
Utility (piped) gas service,0.879,181.709,224.366,225.181,23.9,0.4,0.3,-0.3,-0.5
All items less food and energy,79.282,269.755,283.908,285.996,6.0,0.7,0.5,0.6,0.6
Commodities less food and energy commodities,21.699,145.973,160.850,162.991,11.7,1.3,0.9,1.2,1.0
Apparel,2.458,117.785,121.068,124.079,5.3,2.5,0.7,1.1,1.1
New vehicles,4.105,149.377,166.653,167.582,12.2,0.6,1.2,1.2,0.0
Used cars and trucks,4.143,149.659,207.164,210.293,40.5,1.5,2.4,3.3,1.5
Medical care commodities(1),1.524,377.546,379.611,382.984,1.4,0.9,0.1,0.0,0.9
Alcoholic beverages,0.889,259.765,265.410,266.749,2.7,0.5,0.2,0.3,0.4
Tobacco and smoking products(1),0.526,"1,220.942","1,308.024","1,306.913",7.0,-0.1,0.9,0.7,-0.1
Services less energy services,57.583,347.190,359.559,361.397,4.1,0.5,0.4,0.3,0.4
Shelter,32.946,328.282,341.241,342.604,4.4,0.4,0.5,0.4,0.3
Rent of primary residence,7.398,344.758,355.931,357.737,3.8,0.5,0.4,0.4,0.5
Owners' equivalent rent of residences(2),24.251,338.181,350.508,352.005,4.1,0.4,0.4,0.4,0.4
Medical care services,6.962,568.778,578.555,584.111,2.7,1.0,0.3,0.3,0.6
Physicians' services(1),1.900,397.892,408.644,408.335,2.6,-0.1,0.4,0.0,-0.1
Hospital services(3),2.199,358.733,366.854,371.646,3.6,1.3,-0.1,0.2,0.5
Transportation services,5.599,311.312,326.063,328.665,5.6,0.8,0.7,0.0,1.0
Motor vehicle maintenance and repair(1),1.038,310.662,324.688,325.448,4.8,0.2,0.0,-0.1,0.2
Motor vehicle insurance,2.383,551.552,567.875,574.042,4.1,1.1,0.4,-0.2,0.9
Airline fares,0.481,200.825,208.954,210.762,4.9,0.9,1.9,2.5,2.3
