Expenditure category,RelativeimportanceApr.2022,May2021,Apr.2022,May2022,May2021-May2022,Apr.2022-May2022,Feb.2022-Mar.2022,Mar.2022-Apr.2022,Apr.2022-May2022
All items,100.000,269.195,289.109,292.296,8.6,1.1,1.2,0.3,1.0
Food,13.421,274.212,298.711,302.038,10.1,1.1,1.0,0.9,1.2
Food at home,8.304,255.516,282.161,285.953,11.9,1.3,1.5,1.0,1.4
Cereals and bakery products,1.052,286.649,314.787,319.930,11.6,1.6,1.5,1.1,1.5
"Meats, poultry, fish, and eggs",1.899,275.776,310.399,314.929,14.2,1.5,1.0,1.4,1.1
Dairy and related products,0.773,230.380,251.030,257.678,11.8,2.6,1.2,2.5,2.9
Fruits and vegetables,1.432,315.748,339.385,341.594,8.2,0.7,1.5,-0.3,0.6
Nonalcoholic beverages and beverage materials,0.950,177.814,197.138,199.166,12.0,1.0,1.2,2.0,1.7
Other food at home,2.198,219.664,244.282,247.300,12.6,1.2,2.0,0.7,1.6
Food away from home(1),5.117,303.481,323.559,325.952,7.4,0.7,0.3,0.6,0.7
Energy,8.255,235.339,298.469,316.761,34.6,6.1,11.0,-2.7,3.9
Energy commodities,4.862,267.532,372.220,402.040,50.3,8.0,18.1,-5.4,4.5
Fuel oil(1),0.165,272.990,482.516,564.147,106.7,16.9,22.3,2.7,16.9
Motor fuel,4.619,264.135,365.314,393.950,49.1,7.8,18.3,-5.8,4.1
Gasoline (all types),4.519,263.170,362.802,391.262,48.7,7.8,18.3,-6.1,4.1
Energy services,3.393,214.335,240.865,249.129,16.2,3.4,1.8,1.3,3.0
Electricity,2.521,220.948,242.778,247.461,12.0,1.9,2.2,0.7,1.3
Utility (piped) gas service,0.873,191.083,230.916,248.854,30.2,7.8,0.6,3.1,8.0
All items less food and energy,78.324,275.893,290.846,292.506,6.0,0.6,0.3,0.6,0.6
Commodities less food and energy commodities,21.403,152.217,164.520,165.140,8.5,0.4,-0.4,0.2,0.7
Apparel,2.489,120.951,127.126,126.970,5.0,-0.1,0.6,-0.8,0.7
New vehicles,4.031,152.143,169.699,171.350,12.6,1.0,0.2,1.1,1.0
Used cars and trucks,3.992,179.532,206.981,208.373,16.1,0.7,-3.8,-0.4,1.8
Medical care commodities(1),1.492,377.191,385.307,386.273,2.4,0.3,0.2,0.1,0.3
Alcoholic beverages,0.877,261.711,271.376,272.293,4.0,0.3,0.5,0.4,0.5
Tobacco and smoking products(1),0.515,"1,240.082","1,327.276","1,338.572",7.9,0.9,0.5,0.4,0.9
Services less energy services,56.921,352.721,368.565,370.937,5.2,0.6,0.6,0.7,0.6
Shelter,32.437,332.454,348.389,350.580,5.5,0.6,0.5,0.5,0.6
Rent of primary residence,7.275,347.016,362.951,365.116,5.2,0.6,0.4,0.6,0.6
Owners' equivalent rent of residences(2),23.782,341.095,356.439,358.469,5.1,0.6,0.4,0.5,0.6
Medical care services,6.869,571.255,591.940,594.243,4.0,0.4,0.6,0.5,0.4
Physicians' services(1),1.842,405.744,410.830,410.249,1.1,-0.1,0.5,0.2,-0.1
Hospital services(3),2.165,361.285,374.501,375.273,3.9,0.2,0.4,0.5,0.5
Transportation services,5.829,331.188,351.985,357.437,7.9,1.5,2.0,3.1,1.3
Motor vehicle maintenance and repair(1),1.022,314.164,331.735,333.258,6.1,0.5,-0.3,0.5,0.5
Motor vehicle insurance,2.397,569.010,592.317,594.437,4.5,0.4,0.7,0.8,0.5
Airline fares,0.659,250.209,297.143,344.853,37.8,16.1,10.7,18.6,12.6
