Expenditure category,RelativeimportanceSep.2022,Oct.2021,Sep.2022,Oct.2022,Oct.2021-Oct.2022,Sep.2022-Oct.2022,Jul.2022-Aug.2022,Aug.2022-Sep.2022,Sep.2022-Oct.2022
All items,100.000,276.589,296.808,298.012,7.7,0.4,0.1,0.4,0.4
Food,13.705,284.205,313.142,315.323,10.9,0.7,0.8,0.8,0.6
Food at home,8.507,265.478,296.771,298.401,12.4,0.5,0.7,0.7,0.4
Cereals and bakery products,1.105,294.625,339.336,341.492,15.9,0.6,1.2,0.9,0.8
"Meats, poultry, fish, and eggs",1.904,297.377,319.486,321.271,8.0,0.6,0.5,0.4,0.6
Dairy and related products,0.806,233.168,268.793,269.355,15.5,0.2,0.3,0.3,-0.1
Fruits and vegetables,1.431,318.316,348.173,348.021,9.3,0.0,0.5,1.6,-0.9
Nonalcoholic beverages and beverage materials,0.978,186.387,208.332,210.121,12.7,0.9,0.5,0.6,0.5
Other food at home,2.284,227.701,260.580,262.814,15.4,0.9,1.1,0.5,0.9
Food away from home(1),5.197,313.592,337.369,340.532,8.6,0.9,0.9,0.9,0.9
Energy,8.010,255.338,297.343,300.359,17.6,1.0,-5.0,-2.1,1.8
Energy commodities,4.310,294.326,338.768,351.065,19.3,3.6,-10.1,-4.7,4.4
Fuel oil(1),0.151,322.736,454.177,543.915,68.5,19.8,-5.9,-2.7,19.8
Motor fuel,4.086,289.665,331.772,341.954,18.1,3.1,-10.5,-4.8,4.0
Gasoline (all types),3.990,288.501,328.918,339.017,17.5,3.1,-10.6,-4.9,4.0
Energy services,3.700,228.484,269.667,264.188,15.6,-2.0,2.1,1.1,-1.2
Electricity,2.685,229.641,265.487,262.100,14.1,-1.3,1.5,0.4,0.1
Utility (piped) gas service,1.016,220.668,275.894,264.774,20.0,-4.0,3.5,2.9,-4.6
All items less food and energy,78.285,281.617,298.442,299.315,6.3,0.3,0.6,0.6,0.3
Commodities less food and energy commodities,21.175,158.550,167.104,166.601,5.1,-0.3,0.5,0.0,-0.4
Apparel,2.482,124.323,130.143,129.414,4.1,-0.6,0.2,-0.3,-0.7
New vehicles,4.056,162.527,175.312,176.157,8.4,0.5,0.8,0.7,0.4
Used cars and trucks,3.830,195.213,203.867,199.176,2.0,-2.3,-0.1,-1.1,-2.4
Medical care commodities(1),1.474,379.003,390.677,390.614,3.1,0.0,0.2,-0.1,0.0
Alcoholic beverages,0.868,264.748,275.810,278.009,5.0,0.8,0.4,0.0,0.8
Tobacco and smoking products(1),0.517,"1,287.067","1,367.458","1,371.864",6.6,0.3,1.1,0.2,0.3
Services less energy services,57.110,357.469,379.634,381.580,6.7,0.5,0.6,0.8,0.5
Shelter,32.622,338.671,359.704,362.093,6.9,0.7,0.7,0.7,0.8
Rent of primary residence,7.352,352.892,376.569,379.436,7.5,0.8,0.7,0.8,0.7
Owners' equivalent rent of residences(2),23.977,347.522,368.932,371.450,6.9,0.7,0.7,0.8,0.6
Medical care services,6.894,575.493,609.852,606.839,5.4,-0.5,0.8,1.0,-0.6
Physicians' services(1),1.811,407.391,414.767,414.897,1.8,0.0,0.2,0.5,0.0
Hospital services(3),,368.593,380.465,,,,0.7,0.1,
Transportation services,5.946,323.903,368.643,373.098,15.2,1.2,0.5,1.9,0.8
Motor vehicle maintenance and repair(1),1.069,325.095,356.076,358.597,10.3,0.7,1.7,1.9,0.7
Motor vehicle insurance,2.461,564.507,624.558,637.103,12.9,2.0,1.3,1.6,1.7
Airline fares,0.614,205.994,284.313,294.340,42.9,3.5,-4.6,0.8,-1.1
