Expenditure category,RelativeimportanceJul.2023,Aug.2022,Jul.2023,Aug.2023,Aug.2022-Aug.2023,Jul.2023-Aug.2023,May2023-Jun.2023,Jun.2023-Jul.2023,Jul.2023-Aug.2023
All items,100.000,296.171,305.691,307.026,3.7,0.4,0.2,0.2,0.6
Food,13.415,310.875,323.523,324.100,4.3,0.2,0.1,0.2,0.2
Food at home,8.598,295.007,303.455,303.716,3.0,0.1,0.0,0.3,0.2
Cereals and bakery products,1.168,336.399,356.377,356.563,6.0,0.1,0.1,0.0,0.5
"Meats, poultry, fish, and eggs",1.777,318.867,317.445,318.944,0.0,0.5,-0.4,0.5,0.8
Dairy and related products,0.788,267.461,269.143,268.281,0.3,-0.3,-0.3,0.5,-0.4
Fruits and vegetables,1.479,343.221,351.646,350.428,2.1,-0.3,0.8,0.4,-0.2
Nonalcoholic beverages and beverage materials,1.036,206.693,216.056,216.642,4.8,0.3,-0.1,0.0,-0.2
Other food at home,2.350,259.976,271.276,271.648,4.5,0.1,-0.2,0.2,0.2
Food away from home(1),4.817,334.212,354.862,356.083,6.5,0.3,0.4,0.2,0.3
Energy,6.961,305.372,284.828,294.328,-3.6,3.3,0.6,0.1,5.6
Energy commodities,3.682,358.038,323.358,342.996,-4.2,6.1,0.8,0.3,10.5
Fuel oil(1),0.115,466.755,364.304,397.444,-14.8,9.1,-0.4,3.0,9.1
Motor fuel,3.509,351.315,318.891,338.207,-3.7,6.1,0.9,0.2,10.7
Gasoline (all types),3.428,348.593,318.071,336.979,-3.3,5.9,1.0,0.2,10.6
Energy services,3.280,267.564,259.766,260.448,-2.7,0.3,0.4,-0.1,0.2
Electricity,2.559,265.191,270.268,270.752,2.1,0.2,0.9,-0.7,0.2
Utility (piped) gas service,0.721,268.866,223.290,224.539,-16.5,0.6,-1.7,2.0,0.1
All items less food and energy,79.624,297.178,309.402,310.103,4.3,0.2,0.2,0.2,0.3
Commodities less food and energy commodities,21.208,167.637,168.014,168.029,0.2,0.0,-0.1,-0.3,-0.1
Apparel,2.496,127.328,129.172,131.262,3.1,1.6,0.3,0.0,0.2
New vehicles,4.264,174.598,179.696,179.691,2.9,0.0,0.0,-0.1,0.3
Used cars and trucks,2.766,212.895,201.624,198.768,-6.6,-1.4,-0.5,-1.3,-1.2
Medical care commodities(1),1.464,391.032,406.169,408.437,4.5,0.6,0.2,0.5,0.6
Alcoholic beverages,0.834,275.627,285.580,285.859,3.7,0.1,0.0,0.1,0.0
Tobacco and smoking products(1),0.498,"1,364.765","1,431.302","1,440.574",5.6,0.6,0.1,0.5,0.6
Services less energy services,58.416,376.980,398.002,399.219,5.9,0.3,0.3,0.4,0.4
Shelter,34.810,357.264,382.226,383.221,7.3,0.3,0.4,0.4,0.3
Rent of primary residence,7.585,373.283,400.210,402.247,7.8,0.5,0.5,0.4,0.5
Owners' equivalent rent of residences(2),25.616,365.993,391.131,392.794,7.3,0.4,0.4,0.5,0.4
Medical care services,6.347,605.883,591.832,592.913,-2.1,0.2,0.0,-0.4,0.1
Physicians' services(1),1.792,412.828,413.437,413.877,0.3,0.1,0.7,0.2,0.1
Hospital services(1)(3),1.912,380.339,389.061,391.678,3.0,0.7,0.4,-0.4,0.7
Transportation services,5.920,362.511,396.199,400.016,10.3,1.0,0.1,0.3,2.0
Motor vehicle maintenance and repair(1),1.131,349.539,387.159,391.395,12.0,1.1,1.3,1.0,1.1
Motor vehicle insurance,2.697,615.559,717.799,733.141,19.1,2.1,1.7,2.0,2.4
Airline fares,0.537,283.911,253.345,246.185,-13.3,-2.8,-8.1,-8.1,4.9
