Expenditure category,RelativeimportanceMay2023,Jun.2022,May2023,Jun.2023,Jun.2022-Jun.2023,May2023-Jun.2023,Mar.2023-Apr.2023,Apr.2023-May2023,May2023-Jun.2023
All items,100.000,296.311,304.127,305.109,3.0,0.3,0.4,0.1,0.2
Food,13.431,305.041,322.249,322.556,5.7,0.1,0.0,0.2,0.1
Food at home,8.616,288.884,302.535,302.335,4.7,-0.1,-0.2,0.1,0.0
Cereals and bakery products,1.166,326.378,354.195,355.074,8.8,0.2,0.2,0.0,0.1
"Meats, poultry, fish, and eggs",1.778,316.110,315.968,315.561,-0.2,-0.1,-0.3,-1.2,-0.4
Dairy and related products,0.793,261.255,269.573,268.338,2.7,-0.5,-0.7,-1.1,-0.3
Fruits and vegetables,1.484,340.594,350.986,350.724,3.0,-0.1,-0.5,1.3,0.8
Nonalcoholic beverages and beverage materials,1.044,200.876,216.460,216.146,7.6,-0.1,-0.1,0.7,-0.1
Other food at home,2.351,252.015,269.999,269.995,7.1,0.0,0.2,0.4,-0.2
Food away from home(1),4.815,329.033,352.892,354.245,7.7,0.4,0.4,0.5,0.4
Energy,6.874,340.917,279.816,283.854,-16.7,1.4,0.6,-3.6,0.6
Energy commodities,3.661,439.256,319.876,321.491,-26.8,0.5,2.7,-5.6,0.8
Fuel oil(1),0.113,557.440,355.185,353.673,-36.6,-0.4,-4.5,-7.7,-0.4
Motor fuel,3.488,432.585,315.310,317.170,-26.7,0.6,2.8,-5.6,0.9
Gasoline (all types),3.403,430.142,314.116,316.258,-26.5,0.7,3.0,-5.6,1.0
Energy services,3.213,262.048,253.204,259.564,-0.9,2.5,-1.7,-1.4,0.4
Electricity,2.495,257.557,262.135,271.369,5.4,3.5,-0.7,-1.0,0.9
Utility (piped) gas service,0.719,269.278,221.484,219.272,-18.6,-1.0,-4.9,-2.6,-1.7
All items less food and energy,79.695,294.680,308.096,308.910,4.8,0.3,0.4,0.4,0.2
Commodities less food and energy commodities,21.378,166.403,168.499,168.588,1.3,0.1,0.6,0.6,-0.1
Apparel,2.552,126.619,131.382,130.510,3.1,-0.7,0.3,0.3,0.3
New vehicles,4.278,172.546,179.329,179.577,4.1,0.1,-0.2,-0.1,0.0
Used cars and trucks,2.752,212.980,199.576,202.007,-5.2,1.2,4.4,4.4,-0.5
Medical care commodities(1),1.462,387.787,403.358,404.109,4.2,0.2,0.5,0.6,0.2
Alcoholic beverages,0.838,273.537,285.285,285.633,4.4,0.1,0.5,0.5,0.0
Tobacco and smoking products(1),0.497,"1,346.046","1,423.094","1,424.290",5.8,0.1,0.1,0.6,0.1
Services less energy services,58.317,373.664,395.295,396.646,6.2,0.3,0.4,0.4,0.3
Shelter,34.674,352.967,378.776,380.594,7.8,0.5,0.4,0.6,0.4
Rent of primary residence,7.558,367.927,396.726,398.593,8.3,0.5,0.6,0.5,0.5
Owners' equivalent rent of residences(2),25.497,361.018,387.323,389.223,7.8,0.5,0.5,0.5,0.4
Medical care services,6.400,598.035,593.738,593.503,-0.8,0.0,-0.1,-0.1,0.0
Physicians' services(1),1.785,410.729,409.885,412.812,0.5,0.7,0.0,-0.5,0.7
Hospital services(1)(3),1.923,375.318,389.166,390.793,4.1,0.4,0.5,1.0,0.4
Transportation services,5.915,365.178,393.836,395.238,8.2,0.4,-0.2,0.8,0.1
Motor vehicle maintenance and repair(1),1.110,340.058,378.182,383.196,12.7,1.3,0.5,0.6,1.3
Motor vehicle insurance,2.628,603.932,695.929,705.717,16.9,1.4,1.4,2.0,1.7
Airline fares,0.636,344.101,298.489,279.224,-18.9,-6.5,-2.6,-3.0,-8.1
