Expenditure category,RelativeimportanceOct.2023,Nov.2022,Oct.2023,Nov.2023,Nov.2022-Nov.2023,Oct.2023-Nov.2023,Aug.2023-Sep.2023,Sep.2023-Oct.2023,Oct.2023-Nov.2023
All items,100.000,297.711,307.671,307.051,3.1,-0.2,0.4,0.0,0.1
Food,13.420,315.857,325.731,325.172,2.9,-0.2,0.2,0.3,0.2
Food at home,8.580,298.284,304.788,303.224,1.7,-0.5,0.1,0.3,0.1
Cereals and bakery products,1.158,344.393,355.752,356.169,3.4,0.1,-0.4,0.2,0.5
"Meats, poultry, fish, and eggs",1.794,319.444,322.536,319.860,0.1,-0.8,0.5,0.7,-0.2
Dairy and related products,0.780,271.307,268.326,267.609,-1.4,-0.3,0.1,0.3,0.1
Fruits and vegetables,1.470,349.462,351.952,350.736,0.4,-0.3,0.0,0.0,0.3
Nonalcoholic beverages and beverage materials,1.034,209.507,216.952,215.604,2.9,-0.6,0.0,-0.1,0.5
Other food at home,2.343,261.583,272.215,270.250,3.3,-0.7,0.3,0.3,-0.1
Food away from home(1),4.840,342.266,358.824,360.383,5.3,0.4,0.4,0.4,0.4
Energy,6.963,292.953,286.754,277.029,-5.4,-3.4,1.5,-2.5,-2.3
Energy commodities,3.724,339.663,329.191,306.419,-9.8,-6.9,2.3,-4.9,-5.8
Fuel oil(1),0.135,553.234,427.572,416.239,-24.8,-2.7,8.5,-0.8,-2.7
Motor fuel,3.531,329.954,322.975,299.696,-9.2,-7.2,2.2,-4.9,-6.0
Gasoline (all types),3.438,326.649,320.999,297.598,-8.9,-7.3,2.1,-5.0,-6.0
Energy services,3.239,260.220,258.236,259.944,-0.1,0.7,0.6,0.5,1.7
Electricity,2.524,258.864,268.342,267.545,3.4,-0.3,1.3,0.3,1.4
Utility (piped) gas service,0.715,258.872,222.955,231.976,-10.4,4.0,-1.9,1.2,2.8
All items less food and energy,79.617,299.600,311.380,311.606,4.0,0.1,0.3,0.2,0.3
Commodities less food and energy commodities,20.914,165.291,166.759,165.367,0.0,-0.8,-0.4,-0.1,-0.3
Apparel,2.549,126.728,132.786,128.093,1.1,-3.5,-0.8,0.1,-1.3
New vehicles,4.231,176.354,179.446,178.700,1.3,-0.4,0.3,-0.1,-0.1
Used cars and trucks,2.521,193.530,184.961,186.270,-3.8,0.7,-2.5,-0.8,1.6
Medical care commodities(1),1.465,391.360,408.965,410.847,5.0,0.5,-0.3,0.4,0.5
Alcoholic beverages,0.837,279.629,288.303,287.731,2.9,-0.2,0.8,0.2,-0.1
Tobacco and smoking products(1),0.508,"1,380.951","1,471.019","1,487.792",7.7,1.1,0.2,1.9,1.1
Services less energy services,58.703,383.179,402.549,404.143,5.5,0.4,0.6,0.3,0.5
Shelter,34.967,364.195,386.435,387.892,6.5,0.4,0.6,0.3,0.4
Rent of primary residence,7.658,382.562,406.683,408.838,6.9,0.5,0.5,0.5,0.5
Owners' equivalent rent of residences(2),25.825,374.040,396.881,399.032,6.7,0.5,0.6,0.4,0.5
Medical care services,6.339,602.333,594.974,597.016,-0.9,0.3,0.3,0.3,0.6
Physicians' services(1),1.764,415.048,409.755,412.011,-0.7,0.6,0.0,-1.0,0.6
Hospital services(1)(3),1.962,378.209,401.752,402.222,6.3,0.1,1.5,1.1,0.1
Transportation services,6.050,374.248,407.526,411.892,10.1,1.1,0.7,0.8,1.1
Motor vehicle maintenance and repair(1),1.140,363.195,392.861,393.924,8.5,0.3,0.2,0.2,0.3
Motor vehicle insurance,2.836,644.317,759.704,768.249,19.2,1.1,1.3,1.9,1.0
Airline fares,0.538,292.656,255.480,257.222,-12.1,0.7,0.3,-0.9,-0.4
