Expenditure category,RelativeimportanceJan.2024,Feb.2023,Jan.2024,Feb.2024,Feb.2023-Feb.2024,Jan.2024-Feb.2024,Nov.2023-Dec.2023,Dec.2023-Jan.2024,Jan.2024-Feb.2024
All items,100.000,300.840,308.417,310.326,3.2,0.6,0.2,0.3,0.4
Food,13.561,320.569,327.327,327.731,2.2,0.1,0.2,0.4,0.0
Food at home,8.177,302.483,305.037,305.469,1.0,0.1,0.1,0.4,0.0
Cereals and bakery products,1.062,350.772,354.532,356.633,1.7,0.6,-0.1,-0.2,0.5
"Meats, poultry, fish, and eggs",1.711,321.803,319.752,320.096,-0.5,0.1,0.3,0.0,0.1
Dairy and related products,0.747,272.271,268.941,267.334,-1.8,-0.6,0.1,0.2,-0.6
Fruits and vegetables,1.421,351.249,354.798,353.965,0.8,-0.2,0.0,0.4,-0.2
Nonalcoholic beverages and beverage materials,1.044,215.925,220.573,220.956,2.3,0.2,0.2,1.2,-0.2
Other food at home,2.193,266.612,271.600,272.768,2.3,0.4,0.2,0.6,0.0
Food away from home(1),5.384,347.869,363.249,363.596,4.5,0.1,0.3,0.5,0.1
Energy,6.644,281.673,270.420,276.331,-1.9,2.2,-0.2,-0.9,2.3
Energy commodities,3.467,309.280,284.627,296.368,-4.2,4.1,-0.7,-3.2,3.6
Fuel oil,0.083,419.629,390.877,396.859,-5.4,1.5,-3.3,-4.5,1.1
Motor fuel,3.300,302.153,277.709,289.546,-4.2,4.3,-0.6,-3.3,3.7
Gasoline (all types),3.194,299.774,276.003,287.943,-3.9,4.3,-0.6,-3.3,3.8
Energy services,3.177,266.353,267.475,267.662,0.5,0.1,0.3,1.4,0.8
Electricity,2.483,266.887,276.698,276.384,3.6,-0.1,0.6,1.2,0.3
Utility (piped) gas service,0.695,258.976,234.515,236.218,-8.8,0.7,-0.6,2.0,2.3
All items less food and energy,79.794,304.011,313.623,315.419,3.8,0.6,0.3,0.4,0.4
Commodities less food and energy commodities,18.820,166.246,164.866,165.752,-0.3,0.5,-0.1,-0.3,0.1
Apparel,2.541,132.039,127.946,131.985,0.0,3.2,0.0,-0.7,0.6
New vehicles,3.671,177.817,178.595,178.592,0.4,0.0,0.2,0.0,-0.1
Used cars and trucks,1.926,183.241,179.410,180.006,-1.8,0.3,0.6,-3.4,0.5
Medical care commodities(1),1.472,396.560,407.879,408.246,2.9,0.1,-0.1,-0.6,0.1
Alcoholic beverages,0.852,282.377,288.758,289.220,2.4,0.2,0.1,0.3,0.0
Tobacco and smoking products(1),0.540,"1,402.834","1,491.538","1,502.976",7.1,0.8,-0.1,0.3,0.8
Services less energy services,60.974,390.070,408.051,410.432,5.2,0.6,0.4,0.7,0.5
Shelter,36.222,372.510,391.896,393.906,5.7,0.5,0.4,0.6,0.4
Rent of primary residence,7.655,391.141,412.019,413.695,5.8,0.4,0.4,0.4,0.5
Owners' equivalent rent of residences(2),26.766,381.844,402.965,404.656,6.0,0.4,0.4,0.6,0.4
Medical care services,6.543,598.778,605.257,605.162,1.1,0.0,0.5,0.7,-0.1
Physicians' services(1),1.829,413.034,415.427,414.702,0.4,-0.2,0.2,0.6,-0.2
Hospital services(1)(3),2.007,384.996,410.695,408.345,6.1,-0.6,0.5,1.6,-0.6
Transportation services,6.304,382.801,412.643,420.850,9.9,2.0,0.1,1.0,1.4
Motor vehicle maintenance and repair(1),1.237,372.572,396.004,397.541,6.7,0.4,-0.3,0.8,0.4
Motor vehicle insurance,2.828,668.806,794.142,806.444,20.6,1.5,1.7,1.4,0.9
Airline fares,0.760,281.216,247.606,263.952,-6.1,6.6,0.9,1.4,3.6
