month_year,fed_funds_rate,unemployment_rate
january_2014,0.07,6.6
february_2014,0.07,6.7
march_2014,0.08,6.7
april_2014,0.09,6.2
may_2014,0.09,6.3
june_2014,0.10,6.1
july_2014,0.09,6.2
august_2014,0.09,6.1
september_2014,0.09,5.9
october_2014,0.09,5.7
november_2014,0.09,5.8
december_2014,0.12,5.6
january_2015,0.11,5.7
february_2015,0.11,5.5
march_2015,0.11,5.4
april_2015,0.12,5.4
may_2015,0.12,5.6
june_2015,0.13,5.3
july_2015,0.13,5.2
august_2015,0.14,5.1
september_2015,0.14,5.0
october_2015,0.12,5.0
november_2015,0.12,5.1
december_2015,0.24,5.0
january_2016,0.34,4.8
february_2016,0.38,4.9
march_2016,0.36,5.0
april_2016,0.37,5.1
may_2016,0.37,4.8
june_2016,0.38,4.9
july_2016,0.39,4.8
august_2016,0.40,4.9
september_2016,0.40,5.0
october_2016,0.40,4.9
november_2016,0.41,4.7
december_2016,0.54,4.7
january_2017,0.65,4.7
february_2017,0.66,4.6
march_2017,0.79,4.4
april_2017,0.90,4.4
may_2017,0.91,4.4
june_2017,1.04,4.3
july_2017,1.15,4.3
august_2017,1.16,4.4
september_2017,1.15,4.3
october_2017,1.15,4.2
november_2017,1.16,4.2
december_2017,1.30,4.1
january_2018,1.41,4.0
february_2018,1.42,4.1
march_2018,1.51,4.0
april_2018,1.69,4.0
may_2018,1.70,3.8
june_2018,1.82,4.0
july_2018,1.91,3.8
august_2018,1.91,3.8
september_2018,1.95,3.7
october_2018,2.19,3.8
november_2018,2.20,3.8
december_2018,2.27,3.9
january_2019,2.40,4.0
february_2019,2.40,3.8
march_2019,2.41,3.8
april_2019,2.42,3.7
may_2019,2.39,3.6
june_2019,2.38,3.6
july_2019,2.40,3.7
august_2019,2.13,3.6
september_2019,2.04,3.5
october_2019,1.83,3.6
november_2019,1.55,3.6
december_2019,1.55,3.6
january_2020,1.55,3.6
february_2020,1.58,3.5
march_2020,0.65,4.4
april_2020,0.05,14.8
may_2020,0.05,13.2
june_2020,0.08,11.0
july_2020,0.09,10.2
august_2020,0.10,8.4
september_2020,0.09,7.8
october_2020,0.09,6.8
november_2020,0.09,6.7
december_2020,0.09,6.7
january_2021,0.09,6.4
february_2021,0.08,6.2
march_2021,0.07,6.1
april_2021,0.07,6.1
may_2021,0.06,5.8
june_2021,0.08,5.9
july_2021,0.10,5.4
august_2021,0.09,5.1
september_2021,0.08,4.7
october_2021,0.08,4.5
november_2021,0.08,4.1
december_2021,0.08,3.9
january_2022,0.08,4.0
february_2022,0.08,3.8
march_2022,0.20,3.6
april_2022,0.33,3.7
may_2022,0.77,3.6
june_2022,1.21,3.6
july_2022,1.68,3.5
august_2022,2.33,3.6
september_2022,2.56,3.5
october_2022,3.08,3.6
november_2022,3.78,3.6
december_2022,4.10,3.5
january_2023,4.33,3.4
february_2023,4.57,3.6
march_2023,4.65,3.5
april_2023,4.83,3.4
may_2023,5.06,3.7
june_2023,5.08,3.6
july_2023,5.12,3.5
august_2023,5.33,3.8
september_2023,5.33,3.8
october_2023,5.33,3.8
november_2023,5.33,3.7
december_2023,5.33,3.7
january_2024,5.33,3.7
february_2024,5.33,3.9
march_2024,5.33,3.8
april_2024,5.33,3.9
may_2024,5.33,4.0
