Expenditure category,RelativeimportanceDec.2023,Jan.2023,Dec.2023,Jan.2024,Jan.2023-Jan.2024,Dec.2023-Jan.2024,Oct.2023-Nov.2023,Nov.2023-Dec.2023,Dec.2023-Jan.2024
All items,100.000,299.170,306.746,308.417,3.1,0.5,0.2,0.2,0.3
Food,13.555,319.136,325.409,327.327,2.6,0.6,0.2,0.2,0.4
Food at home,8.167,301.435,303.005,305.037,1.2,0.7,0.0,0.1,0.4
Cereals and bakery products,1.066,349.294,353.844,354.532,1.5,0.2,0.3,-0.1,-0.2
"Meats, poultry, fish, and eggs",1.722,322.737,320.143,319.752,-0.9,-0.1,-0.2,0.3,0.0
Dairy and related products,0.748,272.040,267.889,268.941,-1.1,0.4,0.0,0.1,0.2
Fruits and vegetables,1.410,351.029,350.250,354.798,1.1,1.3,0.1,0.0,0.4
Nonalcoholic beverages and beverage materials,1.027,213.359,215.872,220.573,3.4,2.2,0.4,0.2,1.2
Other food at home,2.193,264.746,270.223,271.600,2.6,0.5,-0.2,0.2,0.6
Food away from home(1),5.388,345.677,361.564,363.249,5.1,0.5,0.4,0.3,0.5
Energy,6.655,283.330,269.375,270.420,-4.6,0.4,-1.6,-0.2,-0.9
Energy commodities,3.539,305.643,288.953,284.627,-6.9,-1.5,-3.8,-0.7,-3.2
Fuel oil,0.084,455.595,393.189,390.877,-14.2,-0.6,-1.1,-3.3,-4.5
Motor fuel,3.372,297.413,282.246,277.709,-6.6,-1.6,-4.0,-0.6,-3.3
Gasoline (all types),3.261,294.759,280.289,276.003,-6.4,-1.5,-4.0,-0.6,-3.3
Energy services,3.116,272.840,260.877,267.475,-2.0,2.5,1.0,0.3,1.4
Electricity,2.428,266.528,269.170,276.698,3.8,2.8,1.0,0.6,1.2
Utility (piped) gas service,0.688,285.407,230.862,234.515,-17.8,1.6,1.2,-0.6,2.0
All items less food and energy,79.790,301.962,311.907,313.623,3.9,0.6,0.3,0.3,0.4
Commodities less food and energy commodities,18.891,165.340,164.590,164.866,-0.3,0.2,-0.2,-0.1,-0.3
Apparel,2.512,127.875,125.794,127.946,0.1,1.7,-0.6,0.0,-0.7
New vehicles,3.684,177.276,178.269,178.595,0.7,0.2,0.0,0.2,0.0
Used cars and trucks,2.012,185.857,186.383,179.410,-3.5,-3.7,1.4,0.6,-3.4
Medical care commodities(1),1.489,395.981,410.365,407.879,3.0,-0.6,0.5,-0.1,-0.6
Alcoholic beverages,0.854,282.286,287.873,288.758,2.3,0.3,-0.1,0.1,0.3
Tobacco and smoking products(1),0.542,"1,388.790","1,486.900","1,491.538",7.4,0.3,1.1,-0.1,0.3
Services less energy services,60.899,387.258,405.338,408.051,5.4,0.7,0.5,0.4,0.7
Shelter,36.191,369.585,389.433,391.896,6.0,0.6,0.4,0.4,0.6
Rent of primary residence,7.671,388.372,410.606,412.019,6.1,0.3,0.4,0.4,0.4
Owners' equivalent rent of residences(2),26.769,379.328,400.828,402.965,6.2,0.5,0.5,0.4,0.6
Medical care services,6.515,601.551,599.464,605.257,0.6,1.0,0.5,0.5,0.7
Physicians' services(1),1.828,415.197,412.930,415.427,0.1,0.6,0.6,0.2,0.6
Hospital services(1)(3),1.987,385.064,404.407,410.695,6.7,1.6,0.1,0.5,1.6
Transportation services,6.294,376.743,409.749,412.643,9.5,0.7,1.0,0.1,1.0
Motor vehicle maintenance and repair(1),1.233,371.780,392.897,396.004,6.5,0.8,0.3,-0.3,0.8
Motor vehicle insurance,2.794,658.513,780.284,794.142,20.6,1.8,1.2,1.7,1.4
Airline fares,0.751,264.629,243.348,247.606,-6.4,1.7,-0.2,0.9,1.4
