Expenditure category,RelativeimportanceMar.2024,Apr.2023,Mar.2024,Apr.2024,Apr.2023-Apr.2024,Mar.2024-Apr.2024,Jan.2024-Feb.2024,Feb.2024-Mar.2024,Mar.2024-Apr.2024
All items,100.000,303.363,312.332,313.548,3.4,0.4,0.4,0.4,0.3
Food,13.421,321.566,328.043,328.678,2.2,0.2,0.0,0.1,0.0
Food at home,8.085,302.328,305.426,305.707,1.1,0.1,0.0,0.0,-0.2
Cereals and bakery products,1.049,353.742,354.666,355.852,0.6,0.3,0.5,-0.9,0.6
"Meats, poultry, fish, and eggs",1.705,318.996,322.589,322.323,1.0,-0.1,0.1,0.9,-0.7
Dairy and related products,0.730,271.102,266.274,267.474,-1.3,0.5,-0.6,-0.1,0.1
Fruits and vegetables,1.395,346.269,352.841,352.274,1.7,-0.2,-0.2,0.1,-0.8
Nonalcoholic beverages and beverage materials,1.035,215.833,221.423,220.712,2.3,-0.3,-0.2,0.3,-0.2
Other food at home,2.171,269.657,272.352,273.306,1.4,0.4,0.0,-0.5,0.1
Food away from home(1),5.336,351.237,364.546,365.813,4.1,0.3,0.1,0.3,0.3
Energy,6.915,283.352,285.002,290.760,2.6,2.0,2.3,1.1,1.1
Energy commodities,3.775,325.269,313.861,328.797,1.1,4.8,3.6,1.5,2.7
Fuel oil,0.081,384.903,388.191,381.962,-0.8,-1.6,1.1,-1.3,0.9
Motor fuel,3.610,319.843,307.684,323.189,1.0,5.0,3.7,1.6,2.7
Gasoline (all types),3.503,318.482,306.513,322.434,1.2,5.2,3.8,1.7,2.8
Energy services,3.139,255.185,267.658,264.252,3.6,-1.3,0.8,0.7,-0.7
Electricity,2.465,263.216,278.233,276.653,5.1,-0.6,0.3,0.9,-0.1
Utility (piped) gas service,0.674,226.062,230.601,221.729,-1.9,-3.8,2.3,0.0,-2.9
All items less food and energy,79.664,306.899,317.088,317.978,3.6,0.3,0.4,0.4,0.3
Commodities less food and energy commodities,18.698,167.833,165.875,165.700,-1.3,-0.1,0.1,-0.2,-0.1
Apparel,2.621,131.762,133.640,133.502,1.3,-0.1,0.6,0.7,1.2
New vehicles,3.618,178.892,178.247,178.250,-0.4,0.0,-0.1,-0.2,-0.4
Used cars and trucks,1.918,193.394,180.891,180.132,-6.9,-0.4,0.5,-1.1,-1.4
Medical care commodities(1),1.457,400.755,408.919,410.743,2.5,0.4,0.1,0.2,0.4
Alcoholic beverages,0.843,283.961,289.360,289.717,2.0,0.1,0.0,0.1,0.1
Tobacco and smoking products(1),0.540,"1,414.924","1,509.166","1,509.890",6.7,0.0,0.8,0.4,0.0
Services less energy services,60.967,393.769,413.179,414.828,5.3,0.4,0.5,0.5,0.4
Shelter,36.159,376.636,396.174,397.539,5.5,0.3,0.4,0.4,0.4
Rent of primary residence,7.618,394.898,415.219,416.386,5.4,0.3,0.5,0.4,0.4
Owners' equivalent rent of residences(2),26.640,385.366,406.155,407.538,5.8,0.3,0.4,0.4,0.4
Medical care services,6.496,594.346,608.528,610.151,2.7,0.3,-0.1,0.6,0.4
Physicians' services(1),1.805,411.951,415.118,415.648,0.9,0.1,-0.2,0.1,0.1
Hospital services(1)(3),1.990,385.355,412.365,415.025,7.7,0.6,-0.6,1.0,0.6
Transportation services,6.481,390.805,429.591,434.629,11.2,1.2,1.4,1.5,0.9
Motor vehicle maintenance and repair(1),1.247,375.890,404.475,404.380,7.6,0.0,0.4,1.7,0.0
Motor vehicle insurance,2.911,684.166,827.852,839.077,22.6,1.4,0.9,2.6,1.8
Airline fares,0.808,294.550,266.481,277.450,-5.8,4.1,3.6,-0.4,-0.8
