Expenditure category,RelativeimportanceMar.2014,Apr.2013,Mar.2014,Apr.2014,Apr.2013-Apr.2014,Mar.2014-Apr.2014,Jan.2014-Feb.2014,Feb.2014-Mar.2014,Mar.2014-Apr.2014
All items,100.000,232.531,236.293,237.072,2.0,0.3,0.1,0.2,0.3
Food,13.846,236.841,240.398,241.337,1.9,0.4,0.4,0.4,0.4
Food at home,8.184,234.082,236.973,238.103,1.7,0.5,0.5,0.5,0.4
Cereals and bakery products,1.131,271.388,270.660,271.005,-0.1,0.1,-0.4,0.2,0.0
"Meats, poultry, fish, and eggs",1.881,234.320,245.301,249.290,6.4,1.6,1.2,1.2,1.5
Dairy and related products(1),0.866,218.141,223.063,224.171,2.8,0.5,0.7,1.0,0.5
Fruits and vegetables,1.349,287.545,292.944,294.509,2.4,0.5,1.1,0.9,0.7
Nonalcoholic beverages and beverage materials,0.942,168.812,165.703,165.387,-2.0,-0.2,-0.3,-0.2,-0.1
Other food at home,2.015,206.177,205.366,205.091,-0.5,-0.1,0.2,-0.1,-0.2
Food away from home(1),5.662,242.236,246.878,247.534,2.2,0.3,0.3,0.3,0.3
Energy,9.530,244.757,250.543,252.717,3.3,0.9,-0.5,-0.1,0.3
Energy commodities,5.663,312.270,311.216,320.709,2.7,3.1,-1.3,-2.0,1.9
Fuel oil(1),0.179,368.552,393.705,382.025,3.7,-3.0,4.1,-2.9,-3.0
Motor fuel,5.375,309.048,306.059,316.782,2.5,3.5,-1.7,-1.7,2.3
Gasoline (all types),5.287,307.814,304.464,315.335,2.4,3.6,-1.7,-1.7,2.3
Energy services(2),3.867,190.669,203.597,198.856,4.3,-2.3,0.7,2.6,-1.9
Electricity(2),2.919,194.553,204.131,198.654,2.1,-2.7,-0.2,1.1,-2.6
Utility (piped) gas service(2),0.948,176.159,199.340,196.872,11.8,-1.2,3.6,7.5,0.3
All items less food and energy,76.624,233.236,236.913,237.509,1.8,0.3,0.1,0.2,0.2
Commodities less food and energy commodities,19.565,147.992,147.226,147.589,-0.3,0.2,-0.1,0.0,0.1
Apparel,3.455,128.861,128.888,129.629,0.6,0.6,-0.3,0.3,0.0
New vehicles,3.524,146.188,146.348,146.724,0.4,0.3,0.1,0.0,0.3
Used cars and trucks,1.659,150.160,148.920,150.496,0.2,1.1,-0.1,0.4,0.5
Medical care commodities,1.710,335.293,339.567,340.535,1.6,0.3,0.6,-0.3,0.3
Alcoholic beverages,0.999,234.282,236.512,236.530,1.0,0.0,-0.3,0.3,0.1
Tobacco and smoking products(1),0.697,869.057,895.841,896.306,3.1,0.1,-0.1,0.1,0.1
Services less energy services,57.058,284.954,291.518,292.257,2.6,0.3,0.2,0.3,0.3
Shelter,31.892,261.655,268.431,268.899,2.8,0.2,0.2,0.3,0.2
Rent of primary residence(2),6.927,265.984,273.486,274.100,3.1,0.2,0.2,0.3,0.3
Owners' equivalent rent of residences(2)(3),23.716,269.216,275.817,276.265,2.6,0.2,0.2,0.3,0.2
Medical care services,5.847,452.083,463.678,464.238,2.7,0.1,0.2,0.3,0.3
Physicians' services(2),1.562,353.529,357.465,358.415,1.4,0.3,-0.1,0.2,0.3
Hospital services(2)(4),1.811,262.595,277.974,278.496,6.1,0.2,0.6,0.8,0.5
Transportation services,5.513,279.065,282.663,285.402,2.3,1.0,0.3,0.2,0.7
Motor vehicle maintenance and repair(1),1.142,260.341,264.146,264.508,1.6,0.1,0.3,-0.1,0.1
Motor vehicle insurance,2.190,414.955,430.163,433.113,4.4,0.7,0.3,0.3,0.9
Airline fare,0.734,318.815,302.464,318.331,-0.2,5.2,1.3,0.5,2.6
