Expenditure category,RelativeimportanceJun.2014,Jul.2013,Jun.2014,Jul.2014,Jul.2013-Jul.2014,Jun.2014-Jul.2014,Apr.2014-May2014,May2014-Jun.2014,Jun.2014-Jul.2014
All items,100.000,233.596,238.343,238.250,2.0,0.0,0.4,0.3,0.1
Food,13.837,237.001,242.326,243.034,2.5,0.3,0.5,0.1,0.4
Food at home,8.188,233.591,239.147,239.820,2.7,0.3,0.7,0.0,0.4
Cereals and bakery products,1.122,271.279,270.860,271.993,0.3,0.4,-0.1,-0.2,0.4
"Meats, poultry, fish, and eggs",1.922,235.859,252.865,253.767,7.6,0.4,1.4,0.2,0.3
Dairy and related products(1),0.865,215.920,224.522,225.140,4.3,0.3,0.6,-0.4,0.3
Fruits and vegetables,1.348,287.773,295.139,293.535,2.0,-0.5,1.1,-0.3,0.0
Nonalcoholic beverages and beverage materials,0.928,165.412,164.700,165.211,-0.1,0.3,0.4,0.0,0.5
Other food at home,2.004,205.872,205.996,207.390,0.7,0.7,0.3,0.1,0.7
Food away from home(1),5.649,243.409,248.445,249.210,2.4,0.3,0.2,0.2,0.3
Energy,9.799,251.370,259.858,257.907,2.6,-0.8,0.9,1.6,-0.3
Energy commodities,5.825,314.380,322.920,318.294,1.2,-1.4,0.6,3.0,-0.3
Fuel oil(1),0.167,359.780,370.317,367.725,2.2,-0.7,-1.4,-1.7,-0.7
Motor fuel,5.566,311.757,319.692,314.901,1.0,-1.5,0.8,3.3,-0.3
Gasoline (all types),5.480,310.886,318.334,313.514,0.8,-1.5,0.7,3.3,-0.3
Energy services(2),3.974,202.087,211.038,211.563,4.7,0.2,1.4,-0.4,-0.4
Electricity(2),3.084,209.538,217.529,217.930,4.0,0.2,2.3,0.2,-0.3
Utility (piped) gas service(2),0.890,177.356,188.769,189.659,6.9,0.5,-1.7,-2.6,-0.4
All items less food and energy,76.364,233.792,238.157,238.138,1.9,0.0,0.3,0.1,0.1
Commodities less food and energy commodities,19.379,146.872,147.087,146.452,-0.3,-0.4,0.1,0.1,0.0
Apparel,3.383,124.215,127.302,124.645,0.3,-2.1,0.3,0.5,0.2
New vehicles,3.487,145.726,146.067,146.086,0.2,0.0,0.2,-0.3,0.3
Used cars and trucks,1.678,152.554,151.978,152.857,0.2,0.6,-0.1,-0.4,-0.3
Medical care commodities,1.713,334.673,343.224,344.687,3.0,0.4,0.5,0.7,0.3
Alcoholic beverages,0.990,235.022,236.569,236.387,0.6,-0.1,0.0,-0.1,-0.1
Tobacco and smoking products(1),0.700,881.770,907.216,904.614,2.6,-0.3,0.2,1.0,-0.3
Services less energy services,56.985,286.617,293.668,294.068,2.6,0.1,0.3,0.1,0.1
Shelter,31.840,263.451,270.314,271.115,2.9,0.3,0.3,0.2,0.3
Rent of primary residence(2),6.913,267.482,275.321,276.248,3.3,0.3,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),23.635,270.537,277.256,277.886,2.7,0.2,0.2,0.2,0.3
Medical care services,5.813,453.773,464.960,465.166,2.5,0.0,0.3,0.0,0.1
Physicians' services(2),1.555,354.775,359.056,358.585,1.1,-0.1,0.4,-0.3,-0.2
Hospital services(2)(4),1.800,263.698,278.695,279.587,6.0,0.3,0.3,0.2,0.4
Transportation services,5.589,281.080,289.018,286.239,1.8,-1.0,1.0,0.1,-0.7
Motor vehicle maintenance and repair(1),1.138,262.229,265.656,266.282,1.5,0.2,0.2,0.2,0.2
Motor vehicle insurance,2.199,420.073,435.654,436.342,3.9,0.2,0.6,0.2,0.2
Airline fare,0.825,315.789,342.697,315.012,-0.2,-8.1,5.8,0.4,-5.9
