Expenditure category,RelativeimportanceOct.2015,Nov.2014,Oct.2015,Nov.2015,Nov.2014-Nov.2015,Oct.2015-Nov.2015,Aug.2015-Sep.2015,Sep.2015-Oct.2015,Oct.2015-Nov.2015
All items,100.000,236.151,237.838,237.336,0.5,-0.2,-0.2,0.2,0.0
Food,14.251,245.192,249.052,248.306,1.3,-0.3,0.4,0.1,-0.1
Food at home,8.365,241.576,243.779,242.240,0.3,-0.6,0.3,0.1,-0.3
Cereals and bakery products,1.145,270.344,275.753,273.752,1.3,-0.7,-0.2,0.8,-0.5
"Meats, poultry, fish, and eggs",1.992,260.457,261.568,259.141,-0.5,-0.9,-0.3,-0.5,-0.6
Dairy and related products(1),0.856,228.412,221.874,220.613,-3.4,-0.6,0.7,-0.2,-0.6
Fruits and vegetables,1.363,293.978,297.931,298.037,1.4,0.0,0.7,0.5,0.6
Nonalcoholic beverages and beverage materials,0.955,167.511,169.045,167.498,0.0,-0.9,-0.1,0.2,-0.5
Other food at home,2.054,206.210,210.636,209.315,1.5,-0.6,0.8,0.1,-0.3
Food away from home(1),5.887,251.987,258.363,258.805,2.7,0.2,0.5,0.2,0.2
Energy,7.350,221.844,194.501,189.267,-14.7,-2.7,-4.7,0.3,-1.3
Energy commodities,3.676,257.629,203.338,195.291,-24.2,-4.0,-8.6,0.4,-2.4
Fuel oil(1),0.104,329.681,229.191,226.289,-31.4,-1.3,-2.4,-1.1,-1.3
Motor fuel,3.490,252.897,199.996,191.680,-24.2,-4.2,-8.9,0.4,-2.5
Gasoline (all types),3.435,251.172,199.077,190.701,-24.1,-4.2,-9.0,0.4,-2.4
Energy services(2),3.674,197.459,194.713,191.941,-2.8,-1.4,-0.4,0.2,-0.1
Electricity(2),2.921,202.889,205.604,202.479,-0.2,-1.5,-0.5,0.4,0.3
Utility (piped) gas service(2),0.753,178.558,159.422,157.750,-11.7,-1.0,-0.3,-0.7,-1.9
All items less food and energy,78.398,239.248,243.985,244.075,2.0,0.0,0.2,0.2,0.2
Commodities less food and energy commodities,19.343,146.439,146.504,145.624,-0.6,-0.6,0.0,-0.1,-0.2
Apparel,3.447,129.023,129.446,127.039,-1.5,-1.9,-0.3,-0.8,-0.3
New vehicles,3.505,146.481,146.516,146.804,0.2,0.2,-0.1,-0.2,0.1
Used cars and trucks,1.613,144.151,145.821,143.247,-0.6,-1.8,-0.2,-0.3,-0.1
Medical care commodities,1.780,347.616,355.894,356.286,2.5,0.1,-0.2,0.2,0.3
Alcoholic beverages,1.010,239.551,240.656,240.512,0.4,-0.1,0.1,0.6,-0.1
Tobacco and smoking products,0.727,909.610,940.901,943.157,3.7,0.2,-0.1,0.4,0.5
Services less energy services,59.055,295.911,303.694,304.441,2.9,0.2,0.3,0.3,0.3
Shelter,33.228,273.233,281.499,281.932,3.2,0.2,0.3,0.3,0.2
Rent of primary residence(2),7.283,280.123,289.428,290.322,3.6,0.3,0.4,0.3,0.2
Owners' equivalent rent of residences(2)(3),24.662,280.840,288.700,289.480,3.1,0.3,0.3,0.2,0.2
Medical care services,6.017,467.482,480.245,481.894,3.1,0.3,0.3,0.8,0.4
Physicians' services(2),1.592,361.001,366.652,370.599,2.7,1.1,0.3,0.0,1.1
Hospital services(2)(4),1.911,281.491,295.282,294.765,4.7,-0.2,0.2,2.0,-0.2
Transportation services,5.658,288.174,291.969,294.800,2.3,1.0,0.1,0.2,0.6
Motor vehicle maintenance and repair(1),1.167,268.389,271.804,272.090,1.4,0.1,0.1,0.3,0.1
Motor vehicle insurance,2.354,447.271,465.401,471.933,5.5,1.4,0.5,-0.2,1.1
Airline fare,0.690,305.885,285.837,294.143,-3.8,2.9,-0.1,1.5,1.2
