Expenditure category,RelativeimportanceNov.2016,Dec.2015,Nov.2016,Dec.2016,Dec.2015-Dec.2016,Nov.2016-Dec.2016,Sep.2016-Oct.2016,Oct.2016-Nov.2016,Nov.2016-Dec.2016
All items,100.000,236.525,241.353,241.432,2.1,0.0,0.4,0.2,0.3
Food,13.709,247.903,247.435,247.313,-0.2,0.0,0.0,0.0,0.0
Food at home,7.917,241.375,236.930,236.464,-2.0,-0.2,-0.2,-0.1,-0.2
Cereals and bakery products,1.071,273.245,271.896,271.374,-0.7,-0.2,0.0,0.1,-0.1
"Meats, poultry, fish, and eggs",1.755,255.298,243.633,241.612,-5.4,-0.8,-0.7,-0.1,-0.4
Dairy and related products,0.814,220.848,216.773,217.929,-1.3,0.5,0.3,-0.6,0.4
Fruits and vegetables,1.346,299.078,293.554,291.957,-2.4,-0.5,0.2,-0.2,-1.1
Nonalcoholic beverages and beverage materials,0.951,167.482,166.258,165.965,-0.9,-0.2,-0.4,0.3,-0.3
Other food at home,1.981,208.915,207.703,208.301,-0.3,0.3,-0.1,-0.3,0.3
Food away from home(1),5.792,259.097,264.699,265.104,2.3,0.2,0.1,0.1,0.2
Energy,6.972,183.378,191.402,193.306,5.4,1.0,3.5,1.2,1.5
Energy commodities,3.383,184.048,196.855,200.633,9.0,1.9,6.7,2.5,3.0
Fuel oil(1),0.097,208.561,221.808,235.127,12.7,6.0,5.9,-1.2,6.0
Motor fuel,3.202,180.452,193.432,196.831,9.1,1.8,6.9,2.6,2.9
Gasoline (all types),3.153,179.496,192.522,195.915,9.1,1.8,7.0,2.7,3.0
Energy services(2),3.589,190.918,194.838,195.079,2.2,0.1,0.5,-0.1,-0.1
Electricity(2),2.793,201.787,202.984,203.146,0.7,0.1,0.4,0.0,0.0
Utility (piped) gas service(2),0.796,155.746,167.469,167.935,7.8,0.3,0.9,-0.4,-0.4
All items less food and energy,79.319,243.779,249.227,249.134,2.2,0.0,0.1,0.2,0.2
Commodities less food and energy commodities,19.230,144.522,144.593,143.668,-0.6,-0.6,0.1,-0.3,0.0
Apparel,3.152,122.792,127.377,122.637,-0.1,-3.7,0.3,-0.5,-0.7
New vehicles,3.673,146.817,147.027,147.299,0.3,0.2,0.2,-0.1,0.1
Used cars and trucks,1.991,142.474,137.789,137.475,-3.5,-0.2,-0.1,0.3,0.5
Medical care commodities,1.853,355.030,371.540,371.561,4.7,0.0,0.1,-0.5,0.4
Alcoholic beverages,0.952,240.128,243.395,243.414,1.4,0.0,0.4,-0.2,0.1
Tobacco and smoking products,0.659,949.439,975.110,983.271,3.6,0.8,0.3,0.4,0.4
Services less energy services,60.089,304.699,313.702,314.190,3.1,0.2,0.2,0.3,0.3
Shelter,33.587,282.394,291.953,292.612,3.6,0.2,0.4,0.3,0.3
Rent of primary residence(2),7.848,291.204,301.587,302.735,4.0,0.4,0.4,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.528,290.133,299.738,300.501,3.6,0.3,0.3,0.3,0.3
Medical care services,6.687,481.983,500.697,500.845,3.9,0.0,0.0,0.2,0.1
Physicians' services(2),1.709,370.324,384.110,384.519,3.8,0.1,-0.1,0.6,0.0
Hospital services(2)(4),2.242,294.377,307.403,307.465,4.4,0.0,0.2,-0.1,0.3
Transportation services,5.917,294.081,302.164,302.410,2.8,0.1,-0.2,0.4,0.6
Motor vehicle maintenance and repair(1),1.162,272.967,277.348,278.002,1.8,0.2,0.1,0.6,0.2
Motor vehicle insurance,2.475,474.392,503.440,507.589,7.0,0.8,0.2,1.0,0.8
Airline fare,0.646,278.658,274.761,265.436,-4.7,-3.4,-2.2,-1.3,1.9
