Expenditure category,RelativeimportanceDec.2015,Jan.2015,Dec.2015,Jan.2016,Jan.2015-Jan.2016,Dec.2015-Jan.2016,Oct.2015-Nov.2015,Nov.2015-Dec.2015,Dec.2015-Jan.2016
All items,100.000,233.707,236.525,236.916,1.4,0.2,0.1,-0.1,0.0
Food,14.015,246.538,247.903,248.631,0.8,0.3,-0.1,-0.2,0.0
Food at home,8.230,243.123,241.375,242.017,-0.5,0.3,-0.3,-0.4,-0.2
Cereals and bakery products,1.098,273.589,273.245,274.580,0.4,0.5,-0.4,-0.1,-0.2
"Meats, poultry, fish, and eggs",1.876,260.982,255.298,251.783,-3.5,-1.4,-0.6,-1.1,-1.3
Dairy and related products,0.846,227.800,220.848,220.869,-3.0,0.0,-0.5,0.0,-0.2
Fruits and vegetables,1.399,298.781,299.078,306.796,2.7,2.6,0.5,-0.2,1.3
Nonalcoholic beverages and beverage materials,0.977,168.603,167.482,168.718,0.1,0.7,-0.3,-0.1,-0.2
Other food at home,2.033,207.218,208.915,208.810,0.8,-0.1,-0.3,-0.2,-0.2
Food away from home(1),5.785,253.037,259.097,259.958,2.7,0.3,0.2,0.1,0.3
Energy,6.816,192.619,183.378,180.171,-6.5,-1.7,0.3,-2.8,-2.8
Energy commodities,3.228,192.221,184.048,175.931,-8.5,-4.4,0.7,-4.8,-4.8
Fuel oil(1),0.093,273.718,208.561,195.029,-28.7,-6.5,-1.3,-7.8,-6.5
Motor fuel,3.048,186.763,180.452,172.378,-7.7,-4.5,0.8,-4.8,-4.8
Gasoline (all types),3.000,185.142,179.496,171.574,-7.3,-4.4,0.8,-4.8,-4.8
Energy services(2),3.588,201.594,190.918,192.148,-4.7,0.6,-0.2,-0.7,-0.7
Electricity(2),2.833,208.172,201.787,203.169,-2.4,0.7,0.2,-0.4,-0.7
Utility (piped) gas service(2),0.755,179.184,155.746,156.513,-12.7,0.5,-1.7,-1.9,-0.6
All items less food and energy,79.169,239.248,243.779,244.528,2.2,0.3,0.2,0.2,0.3
Commodities less food and energy commodities,19.613,144.865,144.522,144.725,-0.1,0.1,-0.1,-0.1,0.2
Apparel,3.101,122.527,122.792,121.878,-0.5,-0.7,-0.1,-0.2,0.6
New vehicles,3.742,146.558,146.817,147.456,0.6,0.4,0.0,0.0,0.3
Used cars and trucks,2.101,141.461,142.474,142.668,0.9,0.1,0.1,0.2,0.1
Medical care commodities,1.806,349.980,355.030,357.414,2.1,0.7,0.2,0.1,0.4
Alcoholic beverages,0.958,238.718,240.128,241.535,1.2,0.6,-0.1,-0.1,0.5
Tobacco and smoking products,0.655,917.733,949.439,952.536,3.8,0.3,0.5,0.3,0.2
Services less energy services,59.556,296.979,304.699,305.803,3.0,0.4,0.3,0.2,0.3
Shelter,33.150,274.589,282.394,283.498,3.2,0.4,0.2,0.2,0.3
Rent of primary residence(2),7.733,281.572,291.204,292.004,3.7,0.3,0.3,0.2,0.3
Owners' equivalent rent of residences(2)(3),24.227,281.980,290.133,290.884,3.2,0.3,0.2,0.2,0.2
Medical care services,6.569,470.030,481.983,485.321,3.3,0.7,0.3,0.1,0.5
Physicians' services(2),1.681,362.740,370.324,370.911,2.3,0.2,1.0,-0.2,0.1
Hospital services(2)(4),2.190,284.225,294.377,297.252,4.6,1.0,-0.2,0.1,0.4
Transportation services,5.876,286.644,294.081,294.420,2.7,0.1,0.5,0.3,0.4
Motor vehicle maintenance and repair(1),1.167,268.869,272.967,273.097,1.6,0.0,0.1,0.3,0.0
Motor vehicle insurance,2.379,451.007,474.392,475.456,5.4,0.2,1.0,0.5,0.4
Airline fare,0.669,283.152,278.658,278.334,-1.7,-0.1,0.2,-0.1,1.2
