Expenditure category,RelativeimportanceJul.2017,Aug.2016,Jul.2017,Aug.2017,Aug.2016-Aug.2017,Jul.2017-Aug.2017,May2017-Jun.2017,Jun.2017-Jul.2017,Jul.2017-Aug.2017
All items,100.000,240.849,244.786,245.519,1.9,0.3,0.0,0.1,0.4
Food,13.668,247.719,250.214,250.493,1.1,0.1,0.0,0.2,0.1
Food at home,7.873,238.088,238.953,238.843,0.3,0.0,-0.1,0.2,-0.2
Cereals and bakery products,1.056,273.104,271.950,272.544,-0.2,0.2,-0.1,-0.4,0.3
"Meats, poultry, fish, and eggs",1.760,246.547,247.761,247.985,0.6,0.1,0.6,0.7,-0.2
Dairy and related products,0.801,215.506,216.434,216.537,0.5,0.0,-0.5,0.3,-0.4
Fruits and vegetables,1.333,292.156,294.935,295.009,1.0,0.0,-0.1,0.5,-0.2
Nonalcoholic beverages and beverage materials,0.942,167.044,167.085,166.822,-0.1,-0.2,-0.6,-0.3,-0.4
Other food at home,1.981,209.761,210.624,209.905,0.1,-0.3,-0.3,0.0,-0.1
Food away from home(1),5.796,263.649,268.649,269.522,2.2,0.3,0.0,0.2,0.3
Energy,7.275,193.524,202.554,205.894,6.4,1.6,-1.6,-0.1,2.8
Energy commodities,3.478,193.119,205.222,212.978,10.3,3.8,-2.7,0.0,6.1
Fuel oil(1),0.095,207.143,220.152,226.590,9.4,2.9,-3.7,-2.0,2.9
Motor fuel,3.298,190.209,202.051,209.881,10.3,3.9,-2.8,0.0,6.3
Gasoline (all types),3.249,189.375,201.173,209.000,10.4,3.9,-2.8,0.0,6.3
Energy services(2),3.797,202.521,209.084,208.454,2.9,-0.3,-0.5,-0.2,-0.1
Electricity(2),2.981,214.222,219.696,219.078,2.3,-0.3,-0.6,0.4,0.0
Utility (piped) gas service(2),0.817,164.715,174.301,173.646,5.4,-0.4,-0.2,-2.3,-0.5
All items less food and energy,79.057,248.278,251.936,252.460,1.7,0.2,0.1,0.1,0.2
Commodities less food and energy commodities,18.872,145.140,143.915,143.895,-0.9,0.0,-0.1,-0.1,-0.1
Apparel,2.989,124.871,122.485,124.147,-0.6,1.4,-0.1,0.3,0.1
New vehicles,3.601,146.713,146.190,145.712,-0.7,-0.3,-0.3,-0.5,0.0
Used cars and trucks,1.988,144.858,139.519,139.350,-3.8,-0.1,-0.7,-0.5,-0.2
Medical care commodities,1.870,372.106,380.302,381.114,2.4,0.2,0.7,1.0,-0.1
Alcoholic beverages,0.944,242.009,244.706,245.042,1.3,0.1,0.2,0.1,0.1
Tobacco and smoking products,0.687,969.004,"1,030.729","1,029.619",6.3,-0.1,-0.4,-0.1,-0.1
Services less energy services,60.185,311.746,318.674,319.559,2.5,0.3,0.2,0.2,0.4
Shelter,33.793,289.605,297.919,299.157,3.3,0.4,0.2,0.1,0.5
Rent of primary residence(2),7.907,297.916,308.173,309.479,3.9,0.4,0.3,0.2,0.4
Owners' equivalent rent of residences(2)(3),24.612,296.521,305.037,306.201,3.3,0.4,0.3,0.3,0.3
Medical care services,6.672,499.187,506.681,507.390,1.6,0.1,0.3,0.3,0.2
Physicians' services(2),1.658,382.156,377.989,378.990,-0.8,0.3,-0.4,0.1,0.4
Hospital services(2)(4),2.296,305.972,319.387,319.394,4.4,0.0,0.9,0.5,0.2
Transportation services,5.996,298.876,310.567,309.469,3.5,-0.4,0.2,0.2,0.4
Motor vehicle maintenance and repair(1),1.155,275.923,279.605,280.488,1.7,0.3,-0.4,0.1,0.3
Motor vehicle insurance,2.551,491.047,526.394,530.908,8.1,0.9,1.0,0.3,1.0
Airline fares,0.641,268.040,276.308,259.359,-3.2,-6.1,-2.7,0.7,-1.0
