Expenditure category,RelativeimportanceFeb.2018,Mar.2017,Feb.2018,Mar.2018,Mar.2017-Mar.2018,Feb.2018-Mar.2018,Dec.2017-Jan.2018,Jan.2018-Feb.2018,Feb.2018-Mar.2018
All items,100.000,243.801,248.991,249.554,2.4,0.2,0.5,0.2,-0.1
Food,13.306,249.165,252.266,252.370,1.3,0.0,0.2,0.0,0.1
Food at home,7.327,238.256,239.190,239.158,0.4,0.0,0.1,-0.2,0.1
Cereals and bakery products,0.959,272.174,271.245,272.345,0.1,0.4,0.3,-0.1,0.4
"Meats, poultry, fish, and eggs",1.610,244.306,247.095,249.516,2.1,1.0,-0.2,-0.2,0.8
Dairy and related products,0.735,218.567,216.412,216.497,-0.9,0.0,0.0,-0.3,0.3
Fruits and vegetables,1.298,292.932,298.503,293.870,0.3,-1.6,0.5,-0.5,-0.7
Nonalcoholic beverages and beverage materials,0.873,168.455,167.736,167.758,-0.4,0.0,0.0,-0.1,0.4
Other food at home,1.852,210.002,210.115,210.012,0.0,0.0,0.0,-0.1,-0.2
Food away from home(1),5.978,267.055,273.435,273.733,2.5,0.1,0.4,0.2,0.1
Energy,7.687,198.597,213.519,212.554,7.0,-0.5,3.0,0.1,-2.8
Energy commodities,4.254,209.029,233.414,232.716,11.3,-0.3,5.8,-0.9,-4.7
Fuel oil,0.117,240.619,292.718,288.737,20.0,-1.4,9.5,-3.6,-0.7
Motor fuel,4.059,205.155,228.666,228.068,11.2,-0.3,5.6,-0.8,-4.9
Gasoline (all types),3.971,204.217,227.420,226.872,11.1,-0.2,5.7,-0.9,-4.9
Energy services(2),3.433,197.709,203.932,202.625,2.5,-0.6,-0.8,1.4,-0.2
Electricity(2),2.634,205.692,210.970,210.273,2.2,-0.3,-0.2,0.4,0.0
Utility (piped) gas service(2),0.799,170.755,179.557,176.567,3.4,-1.7,-2.6,4.7,-1.2
All items less food and energy,79.007,251.290,255.783,256.610,2.1,0.3,0.3,0.2,0.2
Commodities less food and energy commodities,19.895,145.527,144.412,145.050,-0.3,0.4,0.4,0.1,-0.1
Apparel,3.136,128.250,126.587,128.604,0.3,1.6,1.7,1.5,-0.6
New vehicles,3.775,148.543,146.807,146.727,-1.2,-0.1,-0.1,-0.5,0.0
Used cars and trucks,2.407,139.372,137.768,139.892,0.4,1.5,0.4,-0.3,-0.3
Medical care commodities,1.740,376.440,381.975,381.804,1.4,0.0,-0.1,-0.3,0.1
Alcoholic beverages,0.970,244.978,248.166,248.287,1.4,0.0,0.0,0.2,0.1
Tobacco and smoking products,0.646,987.910,"1,049.343","1,046.450",5.9,-0.3,0.3,0.1,-0.2
Services less energy services,59.112,316.481,324.690,325.610,2.9,0.3,0.3,0.2,0.3
Shelter,32.697,295.044,303.653,304.847,3.3,0.4,0.2,0.2,0.4
Rent of primary residence(2),7.779,304.868,315.277,315.883,3.6,0.2,0.3,0.2,0.3
Owners' equivalent rent of residences(2)(3),23.606,302.259,311.280,312.107,3.3,0.3,0.3,0.2,0.3
Medical care services,6.939,505.991,515.205,516.713,2.1,0.3,0.6,0.0,0.5
Physicians' services(2),1.750,383.965,380.470,380.766,-0.8,0.1,0.3,0.2,0.2
Hospital services(2)(4),2.324,314.529,329.701,330.759,5.2,0.3,1.3,-0.5,0.6
Transportation services,5.987,307.490,320.089,320.774,4.3,0.2,0.8,1.0,0.2
Motor vehicle maintenance and repair(1),1.116,279.600,284.032,283.656,1.5,-0.1,0.1,0.3,-0.1
Motor vehicle insurance,2.396,517.619,563.365,563.762,8.9,0.1,1.3,1.7,0.3
Airline fares,0.712,283.583,265.272,267.482,-5.7,0.8,-0.6,0.6,0.6
