Expenditure category,RelativeimportanceSep.2018,Oct.2017,Sep.2018,Oct.2018,Oct.2017-Oct.2018,Sep.2018-Oct.2018,Jul.2018-Aug.2018,Aug.2018-Sep.2018,Sep.2018-Oct.2018
All items,100.000,246.663,252.439,252.885,2.5,0.2,0.2,0.1,0.3
Food,13.235,251.364,254.393,254.358,1.2,0.0,0.1,0.0,-0.1
Food at home,7.256,239.543,240.125,239.882,0.1,-0.1,0.0,-0.1,-0.2
Cereals and bakery products,0.955,270.858,273.729,272.260,0.5,-0.5,0.0,0.6,-0.6
"Meats, poultry, fish, and eggs",1.600,248.413,248.876,247.966,-0.2,-0.4,0.1,-1.0,0.0
Dairy and related products,0.726,217.170,216.638,216.800,-0.2,0.1,0.1,-0.3,-0.4
Fruits and vegetables,1.280,299.700,298.432,298.531,-0.4,0.0,-0.3,-0.5,-0.7
Nonalcoholic beverages and beverage materials,0.865,167.990,168.428,169.570,0.9,0.7,0.2,0.6,0.2
Other food at home,1.831,209.528,210.590,210.224,0.3,-0.2,0.0,0.2,0.0
Food away from home(1),5.979,270.658,277.258,277.513,2.5,0.1,0.2,0.2,0.1
Energy,8.031,207.290,226.165,225.757,8.9,-0.2,1.9,-0.5,2.4
Energy commodities,4.630,223.219,257.575,259.561,16.3,0.8,3.0,-0.2,2.9
Fuel oil,0.119,250.640,302.419,316.185,26.2,4.6,2.2,0.3,3.7
Motor fuel,4.437,219.640,253.432,255.126,16.2,0.7,3.0,-0.2,3.0
Gasoline (all types),4.344,218.591,252.216,253.793,16.1,0.6,3.0,-0.2,3.0
Energy services,3.401,201.661,204.819,201.798,0.1,-1.5,0.4,-0.8,1.7
Electricity,2.655,210.424,215.536,211.937,0.7,-1.7,0.3,-0.5,2.3
Utility (piped) gas service,0.747,172.373,170.100,168.770,-2.1,-0.8,0.9,-1.7,-0.6
All items less food and energy,78.734,253.638,258.429,259.063,2.1,0.2,0.1,0.1,0.2
Commodities less food and energy commodities,19.519,144.273,143.641,144.134,-0.1,0.3,-0.3,-0.3,0.3
Apparel,3.114,129.570,127.440,129.108,-0.4,1.3,-1.6,0.9,0.1
New vehicles,3.695,144.868,145.715,145.588,0.5,-0.1,0.0,-0.1,-0.2
Used cars and trucks,2.329,135.867,135.130,136.450,0.4,1.0,0.4,-3.0,2.6
Medical care commodities,1.710,377.038,380.535,379.662,0.7,-0.2,-0.3,-0.1,-0.1
Alcoholic beverages,0.963,246.621,249.921,250.757,1.7,0.3,0.0,0.5,0.1
Tobacco and smoking products,0.647,"1,047.932","1,065.017","1,081.193",3.2,1.5,0.1,0.3,1.3
Services less energy services,59.215,321.253,329.761,330.465,2.9,0.2,0.2,0.2,0.2
Shelter,32.893,300.846,309.702,310.382,3.2,0.2,0.3,0.2,0.2
Rent of primary residence,7.825,311.501,321.533,322.628,3.6,0.3,0.4,0.2,0.2
Owners' equivalent rent of residences(2),23.723,308.190,317.149,318.215,3.3,0.3,0.3,0.2,0.3
Medical care services,6.883,509.256,518.108,519.152,1.9,0.2,-0.2,0.2,0.2
Physicians' services,1.728,379.072,380.928,380.489,0.4,-0.1,-0.1,0.3,0.0
Hospital services(3),2.312,322.368,332.595,332.853,3.3,0.1,-0.1,-0.3,0.0
Transportation services,5.945,312.290,322.241,324.131,3.8,0.6,0.3,0.5,0.1
Motor vehicle maintenance and repair(1),1.117,283.257,288.457,289.057,2.0,0.2,0.3,0.5,0.2
Motor vehicle insurance,2.382,537.222,567.838,573.050,6.7,0.9,0.0,0.8,0.5
Airline fares,0.683,267.297,258.196,265.930,-0.5,3.0,2.4,1.0,0.0
