Expenditure category,RelativeimportanceAug.2018,Sep.2017,Aug.2018,Sep.2018,Sep.2017-Sep.2018,Aug.2018-Sep.2018,Jun.2018-Jul.2018,Jul.2018-Aug.2018,Aug.2018-Sep.2018
All items,100.000,246.819,252.146,252.439,2.3,0.1,0.2,0.2,0.1
Food,13.234,250.993,254.077,254.393,1.4,0.1,0.1,0.1,0.0
Food at home,7.261,239.128,240.015,240.125,0.4,0.0,0.2,0.0,-0.1
Cereals and bakery products,0.955,271.750,273.338,273.729,0.7,0.1,-0.2,0.0,0.6
"Meats, poultry, fish, and eggs",1.613,247.613,250.743,248.876,0.5,-0.7,0.3,0.1,-1.0
Dairy and related products,0.726,216.564,216.435,216.638,0.0,0.1,-0.6,0.1,-0.3
Fruits and vegetables,1.278,297.047,297.644,298.432,0.5,0.3,1.0,-0.3,-0.5
Nonalcoholic beverages and beverage materials,0.860,167.429,167.231,168.428,0.6,0.7,0.0,0.2,0.6
Other food at home,1.829,210.159,210.158,210.590,0.2,0.2,0.1,0.0,0.2
Food away from home(1),5.973,270.353,276.648,277.258,2.6,0.2,0.1,0.2,0.2
Energy,8.068,215.711,226.939,226.165,4.8,-0.3,-0.5,1.9,-0.5
Energy commodities,4.617,234.982,256.520,257.575,9.6,0.4,-0.6,3.0,-0.2
Fuel oil,0.117,245.085,296.617,302.419,23.4,2.0,1.2,2.2,0.3
Motor fuel,4.427,232.076,252.546,253.432,9.2,0.4,-0.6,3.0,-0.2
Gasoline (all types),4.334,231.182,251.367,252.216,9.1,0.3,-0.6,3.0,-0.2
Energy services,3.452,207.339,207.617,204.819,-1.2,-1.3,-0.4,0.4,-0.8
Electricity,2.688,218.117,217.967,215.536,-1.2,-1.1,-0.4,0.3,-0.5
Utility (piped) gas service,0.764,172.111,173.867,170.100,-1.2,-2.2,-0.5,0.9,-1.7
All items less food and energy,78.698,252.941,258.012,258.429,2.2,0.2,0.2,0.1,0.1
Commodities less food and energy commodities,19.536,144.108,143.599,143.641,-0.3,0.0,0.1,-0.3,-0.3
Apparel,2.995,128.150,122.447,127.440,-0.6,4.1,-0.3,-1.6,0.9
New vehicles,3.711,145.037,146.149,145.715,0.5,-0.3,0.3,0.0,-0.1
Used cars and trucks,2.434,137.141,141.095,135.130,-1.5,-4.2,1.3,0.4,-3.0
Medical care commodities,1.719,377.869,382.171,380.535,0.7,-0.4,-1.1,-0.3,-0.1
Alcoholic beverages,0.959,245.884,248.407,249.921,1.6,0.6,-0.1,0.0,0.5
Tobacco and smoking products,0.647,"1,031.891","1,064.098","1,065.017",3.2,0.1,0.1,0.1,0.3
Services less energy services,59.162,320.210,329.086,329.761,3.0,0.2,0.3,0.2,0.2
Shelter,32.888,299.844,309.296,309.702,3.3,0.1,0.3,0.3,0.2
Rent of primary residence,7.813,310.268,320.651,321.533,3.6,0.3,0.3,0.4,0.2
Owners' equivalent rent of residences(2),23.694,307.106,316.401,317.149,3.3,0.2,0.3,0.3,0.2
Medical care services,6.874,508.078,516.841,518.108,2.0,0.2,0.1,-0.2,0.2
Physicians' services,1.727,379.169,380.143,380.928,0.5,0.2,-0.2,-0.1,0.3
Hospital services(3),2.316,320.449,332.708,332.595,3.8,0.0,0.4,-0.1,-0.3
Transportation services,5.936,309.704,321.387,322.241,4.0,0.3,0.5,0.3,0.5
Motor vehicle maintenance and repair(1),1.113,282.203,286.931,288.457,2.2,0.5,0.1,0.3,0.5
Motor vehicle insurance,2.374,532.455,565.113,567.838,6.6,0.5,0.2,0.0,0.8
Airline fares,0.678,259.143,255.877,258.196,-0.4,0.9,2.7,2.4,1.0
