Expenditure category,RelativeimportanceApr.2019,May2018,Apr.2019,May2019,May2018-May2019,Apr.2019-May2019,Feb.2019-Mar.2019,Mar.2019-Apr.2019,Apr.2019-May2019
All items,100.000,251.588,255.548,256.092,1.8,0.2,0.4,0.3,0.1
Food,13.244,253.098,257.708,258.110,2.0,0.2,0.3,-0.1,0.3
Food at home,7.220,239.287,241.878,242.145,1.2,0.1,0.4,-0.5,0.3
Cereals and bakery products,0.953,271.910,276.640,277.795,2.2,0.4,0.3,-0.1,0.4
"Meats, poultry, fish, and eggs",1.582,249.449,249.203,250.356,0.4,0.5,-0.2,-0.2,0.8
Dairy and related products,0.720,215.659,217.510,217.841,1.0,0.2,0.6,0.1,0.7
Fruits and vegetables,1.286,297.211,303.503,302.352,1.7,-0.4,1.6,-0.9,-0.8
Nonalcoholic beverages and beverage materials,0.866,166.401,170.727,171.260,2.9,0.3,0.0,-0.9,1.2
Other food at home,1.813,210.159,211.078,210.815,0.3,-0.1,0.1,-0.6,0.0
Food away from home(1),6.025,275.307,282.798,283.394,2.9,0.2,0.2,0.3,0.2
Energy,7.805,226.810,222.499,225.773,-0.5,1.5,3.5,2.9,-0.6
Energy commodities,4.502,260.020,253.547,259.310,-0.3,2.3,6.2,5.4,-0.4
Fuel oil,0.114,292.165,291.424,289.711,-0.8,-0.6,2.1,1.3,-0.3
Motor fuel,4.316,256.175,249.550,255.584,-0.2,2.4,6.4,5.6,-0.5
Gasoline (all types),4.227,255.096,248.499,254.551,-0.2,2.4,6.5,5.7,-0.5
Energy services,3.303,203.553,201.341,202.101,-0.7,0.4,0.3,-0.1,-0.8
Electricity,2.561,212.646,210.525,212.326,-0.2,0.9,0.4,0.0,-0.8
Utility (piped) gas service,0.741,173.420,171.004,168.826,-2.6,-1.3,-0.1,-0.8,-1.0
All items less food and energy,78.951,257.469,262.332,262.590,2.0,0.1,0.1,0.1,0.1
Commodities less food and energy commodities,19.444,144.745,144.851,144.457,-0.2,-0.3,-0.2,-0.3,-0.1
Apparel,3.030,128.362,125.542,124.429,-3.1,-0.9,-1.9,-0.8,0.0
New vehicles,3.704,146.349,147.840,147.659,0.9,-0.1,0.4,0.1,0.1
Used cars and trucks,2.391,138.506,140.458,138.888,0.3,-1.1,-0.4,-1.3,-1.4
Medical care commodities,1.692,383.734,381.256,381.066,-0.7,0.0,0.4,0.9,-0.4
Alcoholic beverages,0.959,248.126,251.758,252.101,1.6,0.1,-0.1,-0.2,0.4
Tobacco and smoking products,0.663,"1,059.665","1,105.201","1,108.299",4.6,0.3,1.6,-0.1,0.4
Services less energy services,59.507,327.298,335.468,336.204,2.7,0.2,0.3,0.3,0.2
Shelter,33.182,306.913,316.263,317.188,3.3,0.3,0.4,0.4,0.2
Rent of primary residence,7.902,317.490,328.678,329.333,3.7,0.2,0.4,0.4,0.2
Owners' equivalent rent of residences(2),23.898,313.656,323.426,324.143,3.3,0.2,0.3,0.3,0.3
Medical care services,6.947,517.220,529.371,531.566,2.8,0.4,0.3,0.2,0.5
Physicians' services,1.713,381.309,382.150,382.436,0.3,0.1,-0.4,0.2,0.1
Hospital services(3),2.302,331.651,335.198,335.966,1.3,0.2,0.3,-0.5,0.5
Transportation services,5.925,322.966,325.114,326.397,1.1,0.4,0.0,0.1,0.1
Motor vehicle maintenance and repair(1),1.130,284.851,295.266,294.586,3.4,-0.2,0.8,0.4,-0.2
Motor vehicle insurance,2.364,564.445,570.492,568.301,0.7,-0.4,-0.1,-0.2,-0.4
Airline fares,0.702,280.804,268.767,283.275,0.9,5.4,-0.6,-0.1,2.0
