Expenditure category,RelativeimportanceJan.2020,Feb.2019,Jan.2020,Feb.2020,Feb.2019-Feb.2020,Jan.2020-Feb.2020,Nov.2019-Dec.2019,Dec.2019-Jan.2020,Jan.2020-Feb.2020
All items,100.000,252.776,257.971,258.678,2.3,0.3,0.2,0.1,0.1
Food,13.783,257.222,261.057,261.876,1.8,0.3,0.2,0.2,0.4
Food at home,7.593,242.057,243.110,244.054,0.8,0.4,0.0,0.1,0.5
Cereals and bakery products,0.983,275.996,275.916,276.641,0.2,0.3,-0.3,-0.4,0.5
"Meats, poultry, fish, and eggs",1.676,248.597,252.905,253.396,1.9,0.2,1.1,0.0,0.2
Dairy and related products,0.769,216.595,223.035,224.443,3.6,0.6,0.0,0.2,1.1
Fruits and vegetables,1.332,304.621,301.679,299.817,-1.6,-0.6,-0.3,0.1,0.0
Nonalcoholic beverages and beverage materials,0.912,172.488,172.313,173.194,0.4,0.5,-0.2,0.4,0.5
Other food at home,1.920,211.168,210.763,213.215,1.0,1.2,-0.3,0.2,0.8
Food away from home(1),6.190,281.373,289.137,289.781,3.0,0.2,0.3,0.4,0.2
Energy,6.682,202.740,213.043,208.354,2.8,-2.2,1.6,-0.7,-2.0
Energy commodities,3.569,213.270,232.906,223.913,5.0,-3.9,3.0,-1.6,-3.5
Fuel oil,0.107,285.668,291.872,268.835,-5.9,-7.9,1.1,-0.4,-8.5
Motor fuel,3.399,208.242,228.343,219.677,5.5,-3.8,3.1,-1.6,-3.3
Gasoline (all types),3.322,206.749,227.010,218.373,5.6,-3.8,3.1,-1.6,-3.4
Energy services,3.113,202.690,203.318,202.712,0.0,-0.3,-0.2,0.6,-0.3
Electricity,2.421,210.939,212.018,212.180,0.6,0.1,-0.2,0.4,-0.1
Utility (piped) gas service,0.691,174.950,174.272,171.469,-2.0,-1.6,-0.5,1.0,-0.9
All items less food and energy,79.536,261.114,266.004,267.268,2.4,0.5,0.1,0.2,0.2
Commodities less food and energy commodities,20.145,144.609,143.532,144.605,0.0,0.7,0.0,0.0,0.2
Apparel,2.840,125.631,120.853,124.438,-0.9,3.0,0.1,0.7,0.4
New vehicles,3.746,147.226,147.253,147.803,0.4,0.4,0.1,0.0,0.1
Used cars and trucks,2.504,139.301,136.064,137.452,-1.3,1.0,-0.4,-1.2,0.4
Medical care commodities,1.631,377.949,386.331,384.701,1.8,-0.4,1.0,-0.6,-0.6
Alcoholic beverages,1.024,252.599,253.592,254.831,0.9,0.5,0.1,0.3,0.3
Tobacco and smoking products,0.586,"1,088.195","1,144.642","1,148.752",5.6,0.4,0.3,0.3,0.6
Services less energy services,59.390,333.586,342.694,344.006,3.1,0.4,0.2,0.3,0.2
Shelter,33.162,313.880,323.053,324.254,3.3,0.4,0.2,0.4,0.3
Rent of primary residence,7.785,326.351,337.825,338.616,3.8,0.2,0.3,0.4,0.3
Owners' equivalent rent of residences(2),24.050,321.627,331.522,332.177,3.3,0.2,0.2,0.3,0.2
Medical care services,7.210,527.683,552.721,555.597,5.3,0.5,0.3,0.3,0.3
Physicians' services,1.802,383.009,384.715,386.202,0.8,0.4,0.1,-0.4,0.2
Hospital services(3),2.205,336.234,349.152,350.635,4.3,0.4,0.2,0.8,-0.1
Transportation services,5.383,323.575,324.500,327.466,1.2,0.9,-0.1,0.3,0.3
Motor vehicle maintenance and repair(1),1.074,291.993,300.112,302.220,3.5,0.7,0.1,0.2,0.7
Motor vehicle insurance,1.694,574.447,572.693,576.450,0.3,0.7,0.1,-0.2,0.5
Airline fares,0.791,259.049,255.200,265.142,2.4,3.9,-0.6,0.7,-0.3
