Expenditure category,RelativeimportanceOct.2020,Nov.2019,Oct.2020,Nov.2020,Nov.2019-Nov.2020,Oct.2020-Nov.2020,Aug.2020-Sep.2020,Sep.2020-Oct.2020,Oct.2020-Nov.2020
All items,100.000,257.208,260.388,260.229,1.2,-0.1,0.2,0.0,0.2
Food,14.113,259.467,269.828,269.069,3.7,-0.3,0.0,0.2,-0.1
Food at home,7.795,241.726,251.937,250.407,3.6,-0.6,-0.4,0.1,-0.3
Cereals and bakery products,1.005,276.166,284.740,282.782,2.4,-0.7,0.0,0.3,-0.5
"Meats, poultry, fish, and eggs",1.745,250.491,265.796,265.307,5.9,-0.2,-0.4,0.4,0.1
Dairy and related products,0.783,221.515,229.155,229.503,3.6,0.2,-0.5,-0.9,0.3
Fruits and vegetables,1.352,297.472,309.071,306.311,3.0,-0.9,-0.4,0.1,0.0
Nonalcoholic beverages and beverage materials,0.935,170.675,178.400,175.869,3.0,-1.4,-0.8,-0.1,-0.9
Other food at home,1.974,211.250,218.758,217.310,2.9,-0.7,-0.6,0.3,-0.6
Food away from home(1),6.318,287.255,297.893,298.253,3.8,0.1,0.6,0.3,0.1
Energy,6.104,214.636,196.458,194.388,-9.4,-1.1,0.8,0.1,0.4
Energy commodities,2.988,237.972,196.835,192.126,-19.3,-2.4,-0.1,-0.5,-0.2
Fuel oil,0.074,284.797,202.805,209.579,-26.4,3.3,-5.3,-0.3,3.6
Motor fuel,2.856,233.851,193.647,188.544,-19.4,-2.6,0.1,-0.6,-0.4
Gasoline (all types),2.795,232.575,192.792,187.609,-19.3,-2.7,0.1,-0.5,-0.4
Energy services,3.116,201.387,205.445,205.921,2.3,0.2,1.6,0.8,1.1
Electricity,2.439,210.365,215.570,213.787,1.6,-0.8,0.9,1.2,0.5
Utility (piped) gas service,0.677,171.629,172.255,179.226,4.4,4.0,4.2,-0.7,3.1
All items less food and energy,79.782,265.108,269.328,269.473,1.6,0.1,0.2,0.0,0.2
Commodities less food and energy commodities,20.338,143.722,146.261,145.750,1.4,-0.3,0.8,-0.2,0.1
Apparel,2.774,122.986,119.172,116.602,-5.2,-2.2,-0.5,-1.2,0.9
New vehicles,3.729,145.728,147.956,148.063,1.6,0.1,0.3,0.4,-0.1
Used cars and trucks,2.814,137.407,154.381,152.324,10.9,-1.3,6.7,-0.1,-1.3
Medical care commodities,1.591,383.025,380.371,378.810,-1.1,-0.4,0.0,-0.8,-0.3
Alcoholic beverages,1.036,252.463,258.936,259.995,3.0,0.4,-0.2,0.3,0.4
Tobacco and smoking products,0.602,"1,142.857","1,186.127","1,192.609",4.4,0.5,0.4,-0.2,0.3
Services less energy services,59.445,341.032,346.220,346.884,1.7,0.2,0.0,0.1,0.2
Shelter,33.283,321.267,327.273,327.435,1.9,0.0,0.1,0.1,0.1
Rent of primary residence,7.845,335.819,343.615,344.039,2.4,0.1,0.1,0.2,0.0
Owners' equivalent rent of residences(2),24.218,329.745,336.965,337.247,2.3,0.1,0.1,0.2,0.0
Medical care services,7.315,547.735,565.999,565.345,3.2,-0.1,0.0,-0.3,-0.1
Physicians' services,1.819,385.010,392.099,392.156,1.9,0.0,-0.3,0.0,0.1
Hospital services(3),2.216,345.227,354.289,355.164,2.9,0.2,0.6,-0.6,0.3
Transportation services,5.094,326.686,309.965,315.554,-3.4,1.8,-0.9,0.1,1.8
Motor vehicle maintenance and repair(1),1.094,299.260,308.569,309.949,3.6,0.4,0.2,0.1,0.4
Motor vehicle insurance,1.557,571.987,531.217,537.765,-6.0,1.2,-3.5,-2.3,1.1
Airline fares,0.664,268.994,215.993,223.360,-17.0,3.4,-2.0,6.3,3.5
