Expenditure category,RelativeimportanceMay2022,Jun.2021,May2022,Jun.2022,Jun.2021-Jun.2022,May2022-Jun.2022,Mar.2022-Apr.2022,Apr.2022-May2022,May2022-Jun.2022
All items,100.000,271.696,292.296,296.311,9.1,1.4,0.3,1.0,1.3
Food,13.423,276.206,302.038,305.041,10.4,1.0,0.9,1.2,1.0
Food at home,8.324,257.412,285.953,288.884,12.2,1.0,1.0,1.4,1.0
Cereals and bakery products,1.058,286.761,319.930,326.378,13.8,2.0,1.1,1.5,2.1
"Meats, poultry, fish, and eggs",1.906,282.993,314.929,316.110,11.7,0.4,1.4,1.1,-0.4
Dairy and related products,0.785,230.152,257.678,261.255,13.5,1.4,2.5,2.9,1.7
Fruits and vegetables,1.425,315.211,341.594,340.594,8.1,-0.3,-0.3,0.6,0.7
Nonalcoholic beverages and beverage materials,0.950,179.527,199.166,200.876,11.9,0.9,2.0,1.7,0.8
Other food at home,2.201,220.221,247.300,252.015,14.4,1.9,0.7,1.6,1.8
Food away from home(1),5.099,305.634,325.952,329.033,7.7,0.9,0.6,0.7,0.9
Energy,8.665,240.720,316.761,340.917,41.6,7.6,-2.7,3.9,7.5
Energy commodities,5.194,273.459,402.040,439.256,60.6,9.3,-5.4,4.5,10.4
Fuel oil(1),0.191,280.786,564.147,557.440,98.5,-1.2,2.7,16.9,-1.2
Motor fuel,4.927,269.983,393.950,432.585,60.2,9.8,-5.8,4.1,11.0
Gasoline (all types),4.820,268.979,391.262,430.142,59.9,9.9,-6.1,4.1,11.2
Energy services,3.471,219.425,249.129,262.048,19.4,5.2,1.3,3.0,3.5
Electricity,2.541,226.562,247.461,257.557,13.7,4.1,0.7,1.3,1.7
Utility (piped) gas service,0.930,194.563,248.854,269.278,38.4,8.2,3.1,8.0,8.2
All items less food and energy,77.912,278.218,292.506,294.680,5.9,0.7,0.6,0.6,0.7
Commodities less food and energy commodities,21.249,155.284,165.140,166.403,7.2,0.8,0.2,0.7,0.8
Apparel,2.459,120.324,126.970,126.619,5.2,-0.3,-0.8,0.7,0.8
New vehicles,4.026,154.847,171.350,172.546,11.4,0.7,1.1,1.0,0.7
Used cars and trucks,3.975,198.855,208.373,212.980,7.1,2.2,-0.4,1.8,1.6
Medical care commodities(1),1.480,375.697,386.273,387.787,3.2,0.4,0.1,0.3,0.4
Alcoholic beverages,0.870,262.913,272.293,273.537,4.0,0.5,0.4,0.5,0.4
Tobacco and smoking products(1),0.514,"1,247.577","1,338.572","1,346.046",7.9,0.6,0.4,0.9,0.6
Services less energy services,56.663,354.250,370.937,373.664,5.5,0.7,0.7,0.6,0.7
Shelter,32.285,334.222,350.580,352.967,5.6,0.7,0.5,0.6,0.6
Rent of primary residence,7.239,347.833,365.116,367.927,5.8,0.8,0.6,0.6,0.8
Owners' equivalent rent of residences(2),23.657,342.258,358.469,361.018,5.5,0.7,0.5,0.6,0.7
Medical care services,6.821,570.509,594.243,598.035,4.8,0.6,0.5,0.4,0.7
Physicians' services(1),1.819,406.812,410.249,410.729,1.0,0.1,0.2,-0.1,0.1
Hospital services(3),2.146,361.384,375.273,375.318,3.9,0.0,0.5,0.5,0.3
Transportation services,5.855,335.548,357.437,365.178,8.8,2.2,3.1,1.3,2.1
Motor vehicle maintenance and repair(1),1.016,315.209,333.258,340.058,7.9,2.0,0.5,0.5,2.0
Motor vehicle insurance,2.379,569.656,594.437,603.932,6.0,1.6,0.8,0.5,1.9
Airline fares,0.756,256.684,344.853,344.101,34.1,-0.2,18.6,12.6,-1.8
