Expenditure category,All items,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages and beverage materials,Other food at home,Food away from home(1),Energy,Energy commodities,Fuel oil,Motor fuel,Gasoline (all types),Energy services,Electricity,Utility (piped) gas service,All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Used cars and trucks,Medical care commodities(1),Alcoholic beverages,Tobacco and smoking products(1),Services less energy services,Shelter,Rent of primary residence,Owners' equivalent rent of residences(2),Medical care services,Physicians' services(1),Hospital services(1)(3),Transportation services,Motor vehicle maintenance and repair(1),Motor vehicle insurance,Airline fares
RelativeimportanceDec.2013,100.0,13.891,8.187,1.141,1.859,0.86,1.346,0.955,2.027,5.704,9.046,5.34,0.173,5.065,4.979,3.705,2.872,0.834,77.063,19.71,3.437,3.559,1.673,1.704,1.01,0.703,57.353,32.029,6.977,23.9,5.847,1.579,1.78,5.571,1.153,2.213,0.742
RelativeimportanceJan.2014,100.0,13.898,8.211,1.144,1.86,0.861,1.359,0.959,2.028,5.687,9.204,5.407,0.179,5.114,5.028,3.797,2.933,0.865,76.897,19.603,3.365,3.549,1.658,1.713,1.008,0.705,57.294,32.015,6.967,23.863,5.855,1.575,1.793,5.53,1.151,2.209,0.716
RelativeimportanceFeb.2014,100.0,13.89,8.207,1.138,1.87,0.863,1.356,0.949,2.03,5.682,9.266,5.465,0.185,5.153,5.065,3.801,2.911,0.891,76.845,19.596,3.386,3.549,1.655,1.723,1.004,0.701,57.249,31.977,6.952,23.814,5.872,1.57,1.814,5.531,1.151,2.205,0.727
RelativeimportanceMar.2014,100.0,13.846,8.184,1.131,1.881,0.866,1.349,0.942,2.015,5.662,9.53,5.663,0.179,5.375,5.287,3.867,2.919,0.948,76.624,19.565,3.455,3.524,1.659,1.71,0.999,0.697,57.058,31.892,6.927,23.716,5.847,1.562,1.811,5.513,1.142,2.19,0.734
RelativeimportanceApr.2014,100.0,13.855,8.196,1.128,1.905,0.868,1.352,0.937,2.006,5.658,9.581,5.816,0.173,5.545,5.458,3.765,2.832,0.933,76.564,19.549,3.463,3.522,1.671,1.709,0.996,0.695,57.015,31.843,6.919,23.677,5.835,1.561,1.809,5.548,1.139,2.198,0.77
RelativeimportanceMay2014,100.0,13.864,8.216,1.126,1.918,0.87,1.366,0.929,2.007,5.648,9.671,5.827,0.17,5.562,5.475,3.844,2.936,0.908,76.465,19.463,3.434,3.509,1.675,1.708,0.994,0.694,57.001,31.835,6.911,23.635,5.824,1.56,1.803,5.592,1.138,2.2,0.825
RelativeimportanceJun.2014,100.0,13.837,8.188,1.122,1.922,0.865,1.348,0.928,2.004,5.649,9.799,5.825,0.167,5.566,5.48,3.974,3.084,0.89,76.364,19.379,3.383,3.487,1.678,1.713,0.99,0.7,56.985,31.84,6.913,23.635,5.813,1.555,1.8,5.589,1.138,2.199,0.825
RelativeimportanceJul.2014,100.0,13.883,8.215,1.127,1.93,0.867,1.341,0.931,2.019,5.668,9.729,5.744,0.166,5.485,5.4,3.985,3.091,0.894,76.387,19.303,3.314,3.489,1.688,1.721,0.99,0.698,57.085,31.947,6.939,23.698,5.818,1.554,1.807,5.537,1.141,2.203,0.759
RelativeimportanceAug.2014,100.0,13.951,8.259,1.129,1.968,0.874,1.332,0.935,2.021,5.691,9.483,5.529,0.164,5.271,5.187,3.954,3.085,0.869,76.566,19.344,3.348,3.49,1.696,1.724,0.998,0.7,57.222,32.066,6.971,23.8,5.825,1.563,1.803,5.499,1.143,2.212,0.713
RelativeimportanceSep.2014,100.0,13.987,8.282,1.122,1.985,0.878,1.341,0.937,2.019,5.705,9.33,5.411,0.161,5.156,5.072,3.919,3.053,0.866,76.683,19.428,3.468,3.487,1.671,1.731,0.997,0.699,57.255,32.1,6.99,23.839,5.826,1.561,1.808,5.488,1.147,2.216,0.705
